text,category,stance,Lemmatization,sentiment
مات شخص النرويج تلقي لقاح نيويورك بوست,info_news,-1,"['مات', 'شخص', 'روج', 'تلق', 'لقح', 'وير', 'بوس']",negative
وبناء تحليلها لهذه البيانات قررت المملكة المتحدة تأجيل الجرعة الثانية واستخدام الجرعات المتاحة تطعيم اكبر عدد ممكن الناس لحين تصنيع يكفي اللقاحات لتوفير الجرعة الثانية خلال مدة تصل الى اسبوع تلقى الجرعة الاولى وحذت الدول حذوها,info_news,1,"['بنء', 'حلل', 'لهذ', 'بين', 'قرر', 'ملك', 'تحد', 'أجل', 'جرع', 'ثني', 'واستخدام', 'جرع', 'تاح', 'طعم', 'كبر', 'عدد', 'مكن', 'ناس', 'لحن', 'صنع', 'يكف', 'لقح', 'وفر', 'جرع', 'ثني', 'خلل', 'مدة', 'تصل', 'الى', 'سبع', 'لقى', 'جرع', 'ولى', 'وحذ', 'دول', 'حذو']",positive
حراموس الولائيون لاينفعهم لقاح الشيتان الأكببببر مستعدون للموت بالفايروس يأخذون الطعوم اللقاح الاميركي,info_news,-1,"['حراموس', 'ولي', 'نفع', 'لقح', 'شيت', 'كببببر', 'سعد', 'موت', 'يرس', 'أخذ', 'طعم', 'لقح', 'امر']",negative
إعلان هام للمواطنين والمقيمين دولة قطر وزارة الصحة العامة تفتح باب التسجيل للحصول لقاح كوڤيد عبر الرابط التالي قطر نديب_قطر,info_news,1,"['اعل', 'هام', 'وطن', 'قيم', 'دول', 'قطر', 'وزر', 'صحة', 'عمة', 'فتح', 'باب', 'سجل', 'حصل', 'لقح', 'كوڤيد', 'عبر', 'ربط', 'تلي', 'قطر', 'نديب_قطر']",positive
الصين أثناء ظهور السلالة الجديدة كورونا اسنان وبالمرة استطاعوا انتاج لقاح لهذه السلالة بهذه السرعة اشتروها دول والا السلالة الجديدة ستأتي لعضكم,info_news,1,"['صين', 'ثنء', 'ظهر', 'سلل', 'جدد', 'كورو', 'اسن', 'لمر', 'طاع', 'ناج', 'لقح', 'لهذ', 'سلل', 'بهذ', 'سرع', 'شرو', 'دول', 'ولا', 'سلل', 'جدد', 'ستأ', 'لعض']",positive
بنك الدولي سنؤمن لقاح فايزر لـ شخص لبنان,info_news,1,"['بنك', 'دول', 'نؤم', 'لقح', 'يزر', 'لـ', 'شخص', 'لبن']",positive
مصر الصحة تطلق موقع طلبات الحصول لقاح كورونا تجريبيا,info_news,1,"['مصر', 'صحة', 'طلق', 'وقع', 'طلب', 'حصل', 'لقح', 'كورو', 'جرب']",positive
حذر الرئيس مخاطر التطعيم التطعيمات خطيرة وأضاف ماجوفولي استطاع العلماء اختراعها لكانوا توصلوا لقاح ضد الإيدز والسرطان والسل فترة طويلة وحث الرئيس ماجوفولي التنزانيين مواصلة اتخاذ الاحتياطات الوقت نفسه أعلن أنه يكون حجر صحي البلاد,info_news,-1,"['حذر', 'رئس', 'خطر', 'طعم', 'طعم', 'خطر', 'أضف', 'ماجوفولي', 'طاع', 'علماء', 'خرع', 'لكن', 'وصل', 'لقح', 'ضد', 'يدز', 'سرط', 'لسل', 'فتر', 'طول', 'وحث', 'رئس', 'ماجوفولي', 'تنز', 'وصل', 'تخذ', 'حيط', 'وقت', 'نفس', 'اعل', 'انه', 'يكون', 'حجر', 'صحي', 'بلد']",negative
معالي الدكتور وزير الصحة يبين أنه يمكن لمن تلقى الجرعة الأولى لقاح فايزر بيونيتك يتلقى الجرعة الثانية لقاح أسترازينيكا ويقول الدلائل الأولية فيد بأن السلالة الجديدة فيروس كورونا تستجيب للعلاج باللقاحات المختلفة الم نعة لكوفيد,plan,1,"['علي', 'دكتور', 'وزر', 'صحة', 'يبن', 'انه', 'يمكن', 'لمن', 'لقى', 'جرع', 'ولى', 'لقح', 'يزر', 'بين', 'لقى', 'جرع', 'ثني', 'لقح', 'استرازينيكا', 'يقل', 'دلل', 'ولي', 'فيد', 'بأن', 'سلل', 'جدد', 'يرس', 'كورو', 'تجب', 'علج', 'لقح', 'خلف', 'الم', 'نعة', 'كوفيد']",positive
لقاح الحصبة يمنعك الإصابة بالحصبة لقاح الجدري يمنعك الإصابة بالجدري لقاح كوذيب يمنعك الإصابة بالمرض يمنعك نقل العدوى ويجب الاستمرار بكتم أنفاسك وأن تبتعد الناس يفعل الأجرب لماذا يتم تسميته لقاحا لتضليل الناس عميت بصائرهم,unrelated,0,"['لقح', 'حصب', 'منع', 'صبة', 'حصب', 'لقح', 'جدر', 'منع', 'صبة', 'جدر', 'لقح', 'كوذيب', 'منع', 'صبة', 'مرض', 'منع', 'نقل', 'عدى', 'يجب', 'رار', 'كتم', 'فاس', 'وأن', 'بعد', 'ناس', 'فعل', 'جرب', 'لمذ', 'يتم', 'سمت', 'لقح', 'ضلل', 'ناس', 'عمت', 'بصر']",neutral
خادم_الحرمين_الشريفين حفظه الله يتلقى الجرعة الأولى لقاح كورونا كوفيد,celebrity,1,"['خادم_الحرمين_الشريف', 'حفظ', 'الل', 'لقى', 'جرع', 'ولى', 'لقح', 'كورو', 'كوفيد']",positive
نتنياهو يتلقى الجرعة الثانية لقاح كورونا,info_news,1,"['يهو', 'لقى', 'جرع', 'ثني', 'لقح', 'كورو']",positive
يجب يكون لقاح كوفيد شاملا للجميع لنكن واضحين حماية البلدان الثرية وحدها يتيح عودة الحياة طبيعتها وطالما ظل فيروس الكورونا ينتشر مكان العالم فسيظل يشكل تهديدا جميعا يجب نعمل معا كأمم متحدة اللقاحات_فعالة,info_news,1,"['يجب', 'يكون', 'لقح', 'كوفيد', 'شمل', 'جمع', 'لنك', 'وضح', 'حمي', 'بلد', 'ثرة', 'وحد', 'يتح', 'عود', 'حية', 'طبع', 'وطل', 'ظل', 'يرس', 'كورو', 'نشر', 'كان', 'علم', 'يظل', 'شكل', 'هدد', 'جمع', 'يجب', 'عمل', 'معا', 'كأمم', 'تحد', 'لقاحات_فعالة']",positive
مطار القاهرة يستقبل شحنة تبلغ جرعة لقاح استرازينيكا المصنع الهند,info_news,1,"['طار', 'قهر', 'قبل', 'شحن', 'بلغ', 'جرع', 'لقح', 'استرازينيكا', 'صنع', 'هند']",positive
وللبد لازم مسؤول رسمي بالدولة اللبنانية الرؤسا والوزرا يحصلو لقاح كورونا الشعب مش خدمة الشعب غلطان صح المعلومات حول حصول هالفئة عاللقاح غيرهم يعني فعلا الوقاحة بتكون تخطت حدود الكن تعملوها ونظرة الناس تجاهكم نظرة احتقار,personal,1,"['لبد', 'لزم', 'سؤل', 'رسم', 'دول', 'لبن', 'رؤس', 'وزر', 'حصلو', 'لقح', 'كورو', 'شعب', 'مش', 'خدم', 'شعب', 'غلط', 'صح', 'علم', 'حول', 'حصل', 'هالفئ', 'عاللقاح', 'غير', 'يعن', 'فعل', 'وقح', 'بتك', 'تخط', 'حدد', 'الك', 'عملو', 'نظر', 'ناس', 'تجه', 'نظر', 'حقر']",positive
عاجل فيديو الملك_سلمان يتلقى الجرعة الأولى لقاح فيروس كورونا,celebrity,1,"['عجل', 'يدو', 'ملك_سلم', 'لقى', 'جرع', 'ولى', 'لقح', 'يرس', 'كورو']",positive
لأنهم يعلمون أنه لقاح_آمن وضعوا عقوبات الشركة تقوم بتركيبه ولأنهم يعلمون ايران بأمانة أنيس النفوس وضعوا عقوبات العتبة_الرضوية_المقدسة امريكا_الشيطان_الاكبر,info_news,1,"['لأن', 'علم', 'انه', 'لقاح_آمن', 'وضع', 'عقب', 'شرك', 'تقم', 'ركب', 'ولأ', 'علم', 'اير', 'بأم', 'انس', 'نفس', 'وضع', 'عقب', 'عتبة_الرضوية_المقدسة', 'امريكا_الشيطان_الاكبر']",positive
الحمدلله أخذت الجرعة الثانية تطعيم كوفيد الله العافية والسلامة الوباء,personal,1,"['حمدلل', 'اخذ', 'جرع', 'ثني', 'طعم', 'كوفيد', 'الل', 'عفي', 'سلم', 'وبء']",positive
تمخضت وزارة الصحة فأنجبت لقاح إنت وحظك يابتقول يارب يابتروح عنده واحنا مالناش دخل بدنا واسطه,personal,0,"['مخض', 'وزر', 'صحة', 'أنجب', 'لقح', 'انت', 'وحظ', 'تقل', 'يرب', 'ترح', 'عند', 'واح', 'مالناش', 'دخل', 'بدن', 'وسط']",neutral
حسبنا الله ونعم الوكيل شكلهم حيعطوهم لقاح لجماعتهم ولي يعز عليهم عندما يغادرون المملكة زي الأدوية الي تتهرب أثر الميزانية حق الصحة ماتنصرف المواطن ومستشفيات البلد عشان الميزانية ماتكفي,requests,0,"['حسب', 'الل', 'نعم', 'وكل', 'شكل', 'حيعطو', 'لقح', 'جمع', 'ولي', 'يعز', 'علي', 'عند', 'غدر', 'ملك', 'زي', 'دوي', 'الي', 'هرب', 'اثر', 'يزن', 'حق', 'صحة', 'ماتنصرف', 'وطن', 'سشف', 'بلد', 'عشن', 'يزن', 'اكف']",neutral
إيران تعلق استيراد جرعة لقاح فايزر قرار خامنئي منع استيراد اللقاحات,info_news,1,"['اير', 'علق', 'يرد', 'جرع', 'لقح', 'يزر', 'قرر', 'خامنئ', 'منع', 'يرد', 'لقح']",positive
لجنة الطوارئ برئاسة رئيس الوزراء تناقش توفير لقاح كورونا لليمن سبأ نت,plan,1,"['لجن', 'طرئ', 'رئس', 'رئس', 'زرء', 'نقش', 'وفر', 'لقح', 'كورو', 'يمن', 'سبأ', 'نت']",positive
بايدن يتلقى الجرعة الثانية لقاح كورونا,celebrity,1,"['بيد', 'لقى', 'جرع', 'ثني', 'لقح', 'كورو']",positive
دراسة لقاح فايزر يزيد رغبة الل حس الصحافي الجلجوء,others,1,"['درس', 'لقح', 'يزر', 'يزد', 'رغب', 'الل', 'حس', 'صحف', 'جلجوء']",positive
تركيا وصول الدفعة الثانية لقاح كورونافاك الصيني,info_news,1,"['ترك', 'وصل', 'دفع', 'ثني', 'لقح', 'كورونافاك', 'صين']",positive
النائب العام سعود المعجب يتلقى الجرعة الأولى لقاح كورونا اليوم معربا شكره العميق للقيادة الرشيدة لسرعة توفير اللقاح للمواطنين والمقيمين ومؤملا انتهاء الجائحة قريبا بفضل الله بفضل الجهود المخلصة لوزارة الصحة بتوجيه خادم الحرمين الشريفين وولي عهده حفظهما الله,celebrity,1,"['نئب', 'عام', 'سعد', 'عجب', 'لقى', 'جرع', 'ولى', 'لقح', 'كورو', 'اليوم', 'عرب', 'شكر', 'عمق', 'قيد', 'رشد', 'سرع', 'وفر', 'لقح', 'وطن', 'قيم', 'ؤمل', 'نهء', 'جئح', 'قرب', 'فضل', 'الل', 'فضل', 'جهد', 'خلص', 'وزر', 'صحة', 'بتج', 'خدم', 'حرم', 'شرف', 'ولي', 'عهد', 'حفظ', 'الل']",positive
ورد_الآن وزير الصحة ضرورة لإجراء فحص الأجسام المضادة اللقاح عاجل كورونا_الأردن لقاح_كورونا هنا_المملكة,plan,1,"['ورد_الآن', 'وزر', 'صحة', 'ضرر', 'إجراء', 'فحص', 'جسم', 'ضاد', 'لقح', 'عجل', 'كورونا_الأردن', 'لقاح_كورو', 'هنا_المملكة']",positive
دكتورة حامل الشهر الثامن الولايات المتحدة الأمريكية خذت تطعيم كورونا ان مصرح للحوامل حاليا لكنها قالت ببساطة احمي نفسي واللي بطني افضل اني اكون حامل واصاب بكورونا وانت ويهك مربع وتدخن يوم وتخاف التطعيم خذ التطعيم تنشر اشاعات خاطئة,info_news,1,"['دكتور', 'حمل', 'شهر', 'ثمن', 'ولي', 'تحد', 'امر', 'خذت', 'طعم', 'كورو', 'ان', 'صرح', 'حمل', 'حال', 'لكن', 'قلت', 'بسط', 'احم', 'نفس', 'ولل', 'بطن', 'فضل', 'اني', 'اكن', 'حمل', 'اصب', 'كورو', 'ونت', 'ويه', 'ربع', 'تدخ', 'يوم', 'تخف', 'طعم', 'خذ', 'طعم', 'نشر', 'اشع', 'خطئ']",positive
نحنا بنادول عنا بدو يكون عنا لقاح كورونا تك كير بيبي سوا,info_news,1,"['نحن', 'ندل', 'عنا', 'بدو', 'يكون', 'عنا', 'لقح', 'كورو', 'تك', 'كير', 'بيب', 'سوا']",positive
بالفيديو معالي الدكتور أحمد بن محمد السعيدي وزير الصحة يتلقى الجرعة الثانية لقاح كوفيد بمجمع بوشر التخصصي,celebrity,1,"['يدو', 'علي', 'دكتور', 'حمد', 'بن', 'حمد', 'سعد', 'وزر', 'صحة', 'لقى', 'جرع', 'ثني', 'لقح', 'كوفيد', 'جمع', 'وشر', 'خصص']",positive
منظمة دولية العالم وشك فشل أخلاقي توزيع لقاح كورونا,info_news,1,"['نظم', 'دول', 'علم', 'وشك', 'فشل', 'خلق', 'وزع', 'لقح', 'كورو']",positive
ان وعد العالم بلقاح تركى الصنع سيقدمه للبشريه أردوغان يتلقى لقاح صينى ازى الصحه بقى,celebrity,1,"['ان', 'وعد', 'علم', 'لقح', 'ركى', 'صنع', 'قدم', 'بشر', 'ردغ', 'لقى', 'لقح', 'صينى', 'ازى', 'صحه', 'بقى']",positive
القائد الاعلى للقوات الجوية الاسبانية يستقيل منصبه اتهامه بالحصول لقاح ان يحين دوره مش عم بمزح,info_news,1,"['قئد', 'على', 'قوت', 'جوة', 'سبن', 'تقل', 'صبه', 'تهم', 'حصل', 'لقح', 'ان', 'يحن', 'دور', 'مش', 'عم', 'مزح']",positive
لقاح كورونا فايزر_بيونتيك المعتمد وزارة الصحة حصري السيسي حراميته مجرمينه لقاح مودرن الامريكي للأطباء لقاح كورونا الصيني تسبب غيبوبه دائمه لسياسي مصري الامارات سيعطى للشعب المصري وهذا مبدأ اي انقلاب الأشياء الجيده للحاكم وشلته والسيئة القاتله للشعب,info_news,1,"['لقح', 'كورو', 'فايزر_بيونتيك', 'عمد', 'وزر', 'صحة', 'حصر', 'سيس', 'حرم', 'جرم', 'لقح', 'ودر', 'امر', 'طبء', 'لقح', 'كورو', 'صين', 'سبب', 'غيبوب', 'دئم', 'سيس', 'صري', 'امر', 'عطى', 'شعب', 'صري', 'وهذا', 'بدأ', 'اي', 'قلب', 'شيء', 'جيد', 'حكم', 'وشل', 'سيئ', 'قتل', 'شعب']",positive
مستشار الرئيس للصحة يؤكد التعاقد رسمي مليون جرعة لقاح ضد كورونا,plan,1,"['شار', 'رئس', 'صحة', 'ؤكد', 'عقد', 'رسم', 'ملي', 'جرع', 'لقح', 'ضد', 'كورو']",positive
هنغاريا توقع عقدا اقتناء لقاح سبوتنيك الروسي ضد كورونا,info_news,1,"['هنغار', 'وقع', 'عقد', 'قنء', 'لقح', 'سبت', 'روس', 'ضد', 'كورو']",positive
تركيا وزير الصحة يتلقى أولى جرعات لقاح كورونا الصيني,celebrity,1,"['ترك', 'وزر', 'صحة', 'لقى', 'ولى', 'جرع', 'لقح', 'كورو', 'صين']",positive
أبوظبي الإمارات تعلن توفير لقاح كورونا للجميع بدءا سن عاما,info_news,1,"['وظب', 'امر', 'تعل', 'وفر', 'لقح', 'كورو', 'جمع', 'بدء', 'سن', 'عما']",positive
للفيروسات نهاية أهمية وجود تطعيم فعال ضد كورونا وام برق_الإمارات,info_news,0,"['يرس', 'نهي', 'همي', 'وجد', 'طعم', 'فعل', 'ضد', 'كورو', 'وام', 'برق_الإمار']",neutral
نوال الزغبي تلتقي لطيفة دبي وتوضح حقيقة تلقيها لقاح كورونا,celebrity,0,"['نول', 'زغب', 'لقي', 'لطف', 'دبي', 'وضح', 'حقق', 'تلق', 'لقح', 'كورو']",neutral
صورة تغني كلمة حفظ الله خادم الحرمين الشريفين ورعاه وشكرا قدمه دعم بداية الجائحة وحرصه سلامة المواطنين والمقيمين بعلاجهم وحصولهم اللقاح مجانا وأمره ببذل الغالي والنفيس صحتنا الله يطول بعمرگ الملك_يتلقى_لقاح_كورونا,celebrity,1,"['صور', 'تغن', 'كلم', 'حفظ', 'الل', 'خدم', 'حرم', 'شرف', 'ورع', 'شكر', 'قدم', 'دعم', 'بدي', 'جئح', 'حرص', 'سلم', 'وطن', 'قيم', 'علج', 'حصل', 'لقح', 'مجا', 'أمر', 'بذل', 'غلي', 'نفس', 'صحت', 'الل', 'يطل', 'عمرگ', 'ملك_يتلقى_لقاح_كورو']",positive
إسرائيل تكشف فعالية لقاح كورونا وتثير أسئلة حول الاستراتيجية البريطانية اندبندنت_عربية_تغنيك,plan,1,"['رائيل', 'كشف', 'فعل', 'لقح', 'كورو', 'تثر', 'سئل', 'حول', 'استراتيجية', 'بريطانية', 'اندبندنت_عربية_تغنيك']",positive
فترة كورونا استمرار الرواتب الحكوميين دعم القطاع الخاص للمواطن وللمقيم توفير مؤونة وعدم انقطاعها علاج مجاني للمقيم وللمواطن تلقي اللقاح مجاني للمقيم وللمواطن دولة سوت نفسنا الحمدلله حكمة القيادة والحمدلله السلامة ياوالدنا الملك_يتلقى_لقاح_كورونا,info_news,1,"['فتر', 'كورو', 'رار', 'رتب', 'حكم', 'دعم', 'قطع', 'خاص', 'وطن', 'قيم', 'وفر', 'ؤون', 'عدم', 'قطع', 'علج', 'مجا', 'قيم', 'وطن', 'تلق', 'لقح', 'مجا', 'قيم', 'وطن', 'دول', 'سوت', 'نفس', 'حمدلل', 'حكم', 'قيد', 'حمدلل', 'سلم', 'ولد', 'ملك_يتلقى_لقاح_كورو']",positive
بالمنطق وبعيدا الكيدية الدولة_اللبنانية إعطاء لقاح فيروس_كورونا للاجئين السوريين والفلسطينيين غيرهم بسبب الاكتظاظ السكاني ضمن المخيمات يصعب السيطرة الفيروس حال انتشاره إضافة عدم توفر أدنى السبل الوقائية لديهم للحد انتشاره,personal,1,"['نطق', 'بعد', 'كيد', 'دولة_اللبنانية', 'عطء', 'لقح', 'فيروس_كورو', 'اجئ', 'سور', 'لسط', 'غير', 'سبب', 'كظظ', 'سكا', 'ضمن', 'خيم', 'صعب', 'يطر', 'يرس', 'حال', 'نشر', 'ضفة', 'عدم', 'وفر', 'دنى', 'سبل', 'وقي', 'لدي', 'لحد', 'نشر']",positive
شاكرة لنعمة وجودي دولة تسعى لتأمين اللقاح لكافة الموجودين أرضها نهاية العام دعونا ننسى فقراء اللقاح دولة تحصل دفعة وإلى يتم احتواء الوباء عالميا تتهاونوا الاجراءات الوقائية لقاح قطر التزم_بالكمامة كوفيد_,personal,1,"['شكر', 'نعم', 'وجد', 'دول', 'سعى', 'تأم', 'لقح', 'لكف', 'وجد', 'ارض', 'نهي', 'عام', 'دعو', 'نسى', 'قرء', 'لقح', 'دول', 'حصل', 'دفع', 'إلى', 'يتم', 'حوء', 'وبء', 'علم', 'تهو', 'جرء', 'وقي', 'لقح', 'قطر', 'تزم_بالكمامة', 'كوفيد_']",positive
افضل عقار لكورونا العقار اللى انت ساكن واحسن لقاح لكورونا انك تتلقح فى العقار,personal,0,"['فضل', 'عقر', 'كورو', 'عقر', 'للى', 'انت', 'سكن', 'وحس', 'لقح', 'كورو', 'انك', 'لقح', 'فى', 'عقر']",neutral
رابطة أطباء غازي عنتاب عدد الأطباء السوريين العاملين المراكز الصحية التابعة لوزراة الصحة التركية غازي عنتاب تلقوا الجرعة الأولى لقاح فيروس كورونا,info_news,1,"['ربط', 'طبء', 'غزي', 'عنتاب', 'عدد', 'طبء', 'سور', 'عمل', 'ركز', 'صحة', 'ابع', 'وزر', 'صحة', 'ركي', 'غزي', 'عنتاب', 'تلق', 'جرع', 'ولى', 'لقح', 'يرس', 'كورو']",positive
العاهل السعودي يتلقى لقاح كورونا وفيديو يرصد الحدث عاجل,info_news,1,"['عهل', 'سعد', 'لقى', 'لقح', 'كورو', 'يدو', 'رصد', 'حدث', 'عجل']",positive
النائب الحزب الديمقراطي الامريكي ماري نيومان تطالب نتنياهو بتوفير لقاح كورونا للاسرى الفلسطينيين ردا قرار حكومته استثناءهم برنامج التلقيح نيومان سبق ان اصدرت موقفا مناهضا لسياسات الاستيطان وحصار غزة وجرائم الاحتلال ضد الفلسطينيين,requests,1,"['نئب', 'حزب', 'ديمقراطي', 'امر', 'اري', 'نيم', 'طلب', 'يهو', 'وفر', 'لقح', 'كورو', 'سرى', 'لسط', 'ردا', 'قرر', 'حكم', 'ثنء', 'رنمج', 'لقح', 'نيم', 'سبق', 'ان', 'صدر', 'وقف', 'نهض', 'سيس', 'سيط', 'حصر', 'غزة', 'جرم', 'حلل', 'ضد', 'لسط']",positive
زمن الجمهورية الإسلامية الإيرانية العظمى إبتداء القوة الإيمانية والعلمية تمتلكها القوة العسكرية اللا متناهية الى قوة الحب زرعتها قلوب الأحرار العالم العالم إنتظروا واستبشروا فالفرج آت محالة لقاح_آمن,unrelated,0,"['زمن', 'جمهور', 'سلم', 'يرن', 'عظمى', 'بدء', 'قوة', 'يمن', 'علم', 'ملك', 'قوة', 'عسكر', 'الل', 'تنه', 'الى', 'قوة', 'لحب', 'زرع', 'قلب', 'حرر', 'علم', 'علم', 'نظر', 'بشر', 'فرج', 'ات', 'حال', 'لقاح_آمن']",neutral
التنظيم والنظام والمهنية والبشاشة وجهود وزارة_الصحة الجبارة تظهر بوضوح خلال ملامح الرضى والتبسم المرسومة ملامح متلقي لقاح_كوفيد_,info_news,1,"['نظم', 'نظم', 'هنة', 'بشش', 'جهد', 'وزارة_الصحة', 'جبر', 'ظهر', 'وضح', 'خلل', 'لمح', 'رضى', 'بسم', 'رسم', 'لمح', 'تلق', 'لقاح_كوفيد_']",positive
سيأتي دولة أمينة لقاح_آمن,info_news,1,"['سيأ', 'دول', 'مين', 'لقاح_آمن']",positive
فضيحة العيار الثقيل سيد توكل يفضح خطة نظام السيسي لتوزيع لقاح فايزر للمسؤولين اللقاح_الصيني للشعب,plan,1,"['فضح', 'عير', 'ثقل', 'سيد', 'وكل', 'فضح', 'خطة', 'نظم', 'سيس', 'وزع', 'لقح', 'يزر', 'سؤل', 'لقاح_الصي', 'شعب']",positive
إعلان تعلن إدارة المدرسة متمثلة بممرضات الصحة المدرسية بدأ تطعيم طلاب الصف السادس ضد مرض التيتانوس الديفتيريا يرجى حضور الفئة المستهدفة للمدرسة يوم الثلاثاء خلال فترة الدوام المدرسي متقيدين بتطبيق البروتوكول الصحي للحد انتشار كوفيد_,info_news,1,"['اعل', 'تعل', 'درة', 'درس', 'تمثل', 'مرض', 'صحة', 'درس', 'بدأ', 'طعم', 'طلب', 'لصف', 'سدس', 'ضد', 'مرض', 'تنس', 'ديفتير', 'رجى', 'حضر', 'فئة', 'هدف', 'درس', 'يوم', 'ثلاثاء', 'خلل', 'فتر', 'دوم', 'درس', 'تقد', 'طبق', 'بروتوكول', 'صحي', 'لحد', 'نشر', 'كوفيد_']",positive
دراسة لقاح فايزر يبدو فعالا كورونا المتحور,info_news,1,"['درس', 'لقح', 'يزر', 'بدو', 'فعل', 'كورو', 'تحر']",positive
