text,category,stance,Lemmatization
تخلوا هدير الطيران الحربي الاسرائيلي ينسيكن انه اسرائيل وزعت لقاح شعبها,personal,0,تخل هدر طير حرب اسرائيلي ينس انه رائيل وزع لقح شعب
جرعة لقاح تم تقديمها خلال الـ ساعة الماضية ليبلغ عدد الجرعات الكلي بمعدل توزيع جرعة لكل شخص  ,info_news,1,جرع لقح تم قدم خلل الـ سعة اضة بلغ عدد جرع كلي عدل وزع جرع لكل شخص
تويتر يغلق حساب خامنئي بالانجليزي بسبب تغريدة تحوي معلومات كاذبة لقاح,info_news,1,يتر غلق حسب خامنئ جلز سبب غرد تحي علم كذب لقح
اللهم احفظ  سوء وأدام الله  الصحة والعافية  ,celebrity,1,لهم حفظ سوء أدم الل صحة عفي
صحت خبرية فبكون الرئيس الحريري درس بالعمل الإنساني وكيف إنو إنقاذ الأرواح مش بحاجة لصلاحيات ,personal,1,صحت خبر فبك رئس حرر درس عمل انس وكف انو قاذ روح مش بحج صلح
الحكيم مش حكيم اللقاح لقاح   القوات صيصان  ,info_news,1,حكم مش حكم لقح لقح قوت صيص
شاهد الأمير أمين مجلس الأمن الوطني السعودي السابق يتلقى لقاح فايزر مركز اللقاحات بـ   عبر ,celebrity,1,شهد امر امن جلس امن وطن سعد سبق لقى لقح يزر ركز لقح بـ عبر
تتسلم جرعة لقاح اكسفورد بـ اليوم ,info_news,1,سلم جرع لقح كسفورد بـ اليوم
دراسة طبية لقاح فايزر بيونتك فعال الأرجح ضد سلالة كورونا المكتشفة بريطانيا,info_news,1,درس طبة لقح يزر بين فعل رجح ضد سلل كورو كشف برط
دراسة لقاح فايزر فعال ضد سلالات كورونا المتحورة    ,info_news,1,درس لقح يزر فعل ضد سلل كورو تحر
لدينا كميات كبيرة اللقاح الصيني وشحنة لقاح أخر تصل نهاية الأسبوع الجارى ,info_news,1,لدي كمي كبر لقح صين وشح لقح اخر تصل نهي سبع جرى
فيروس كورونا شكوك حول فعالية لقاح أسترازينيكا لمن تتجاوز أعمارهم سنة,info_news,-1,يرس كورو شكك حول فعل لقح استرازينيكا لمن جوز عمر سنة
وكالة أنباء البحرين إقرار لقاح أوكسفورد ـ أسترازينيكا للاستخدام الطارئ,info_news,1,وكل باء بحر قرر لقح اوكسفورد ـ استرازينيكا خدم طرئ
خبر عاجل اختفاء لقاحات كورونا الجنوب ,info_news,0,خبر عجل خفء لقح كورو جنب
عدد المسجلين تطبيق لأخذ لقاح فايروس تخطى حاجز المليون,info_news,1,عدد سجل طبق أخذ لقح يرس خطى حجز ملي
بشهادة خبراء غربيين لقاح سبوتنيك الروسي فعال بنسبة تزيد بالمائة,info_news,1,شهد خبراء غرب لقح سبت روس فعل نسب تزد ائة
شركة فايزر الأمريكية تبرعت للاجئين السوريين الأردن بـ لقاح ومثلهم للاجئين السوريين لبنان,info_news,1,شرك يزر امر برع اجئ سور ارد بـ لقح مثل اجئ سور لبن
سمو الامير خالد بن عبدالعزيز  بن عياف والجرعه الالى لقاح كرونا كوفيد  بالسلامة يارررررب,celebrity,1,سمو امر خلد بن عبدالعزيز بن عيف جرع الى لقح كرو كوفيد سلم يارررررب
شخص يتلقون لقاح كوفيد خلال الساعات الـ الماضية,info_news,1,شخص تلق لقح كوفيد خلل ساع الـ اضة
عقل بلتاجي لنكون قدوه للجميع الحياة او غرف الانعاش ويحث الاردنيين اخذ مطعوم كورونا ,personal,1,عقل لتج لنك قده جمع حية او غرف عاش يحث ارد اخذ طعم كورو
الموناليزا اخدت اللقاح وانتو خايفين لسى  ,personal,1,موناليزا اخد لقح نتو خيف لسى
تساؤلات آخر ليل  اذا كفانا لقاح الكورونا بزيدولو مي ,others,0,سؤل اخر ليل اذا كفا لقح كورو زيدولو مي
شعب يميز الكزبرة البقدونس بدك اياه يعرف شو افضل لقاح  طعمو الشعب ,others,0,شعب يمز كزبر قدونس بدك ايه عرف شو فضل لقح طعمو شعب
بريطانيا  تقر استخدام لقاح موديرنا ضد فيروس كورونا,info_news,1,برط تقر خدم لقح ودر ضد يرس كورو
الدكتور راجي تواضروس وكيل وزارة الصحة بمحافظة قنا يتلقى لقاح كوفيد ,celebrity,1,دكتور رجي ضرس وكل وزر صحة حفظ قنا لقى لقح كوفيد
بدناا لقاح ضد تغير المزاج بدقيقه,unrelated,0,بدن لقح ضد تغر زاج دقق
تلقيح السجناء فيهم الفلسطينيين ضد فيروس المستجد  ,info_news,1,لقح جنء يهم لسط ضد يرس سجد
ايمت يلاقو قاح للجحشنه  وقتها انا بطالب ينعطى للمواطن المقيم والنازح,info_news,1,ايم لقو قاح جحش وقت انا طلب عطى وطن قيم نزح
  وزير الصحة تونس الجزائر أوالمغرب بلد طبيعتنا كجزائريين وكمسلمين نقتسم الشي عندنا   لقاح,info_news,1,وزر صحة ونس جزر اوالمغرب بلد طبع كجزائر كمسلم قتسم الش عند لقح
اسرار تطعيم ونجاح الحمضيات او الموالح كنت محترف جزء,unrelated,0,سرر طعم نجح حمض او ولح كنت حرف جزء
الوباء الاخطر الكرة الأرضية كورونا  امريكا ومخططاتها,unrelated,0,وبء خطر كرة رضي كورو امر خطط
قائد القوات البرية الملكية السعودية يتلقى الجرعة الأولى لقاح كورونا  ,celebrity,1,قئد قوت برة لكة سعد لقى جرع ولى لقح كورو
شون دايش مدرب بيرنلي اقترح منح لقاح كورونا لجميع اندية البريميرليغ,requests,1,شون ديش درب رنل قرح منح لقح كورو جمع ندي بريميرليغ
سيدي صاحب السمو الملكي الامير  يتلقى الجرعة الاولى لقاح كورونا كوفيد  ,celebrity,1,سيد صحب سمو لكي امر لقى جرع ولى لقح كورو كوفيد
دولة عربية إفريقيا تتسلم إمدادات كبيرة لقاحات ضد كورونا  ,info_news,1,دول عرب فرق سلم مدد كبر لقح ضد كورو
يتلقى لقاح العافية جسد صب تجعله يشكو ألم واحفظه شر  يارب زيادة عافيته ودوام صحته وطولا مره طاعته,celebrity,1,لقى لقح عفي جسد صب جعل شكو الم حفظ شر يرب زيد عفي دوم صحت وطل مره طعت
فعالية لقاح فايزر دراسة تظهر نجاح تقليل الإصابات بشكل كبير  ,info_news,1,فعل لقح يزر درس ظهر نجح قلل اصب شكل كبر
الإمارات تعلن توفير لقاح للجميع بدءا سن عاما,plan,1,امر تعل وفر لقح جمع بدء سن عما
إسرائيل تعلن نقل أولى شحنات لقاح كورونا الفلسطينيين,info_news,1,رائيل تعل نقل ولى شحن لقح كورو لسط
ظهور حالة محص تطبيق تلقي الجرعة الثانية لقاح كوفيد,info_news,1,ظهر حلة محص طبق تلق جرع ثني لقح كوفيد
العفو الدولية منع الإيرانيين الحصول لقاح أجنبي تجاهل للحق الحياة ولعب بحياة الملايين مواطنيه  ,info_news,-1,عفو دول منع يرن حصل لقح جنب جهل لحق حية لعب بحا لاي وطن
الحمد لله رب العالمين   اخذنا الجرعة الثانية لقاح    الله الجميع بالصحة والعافية,info_news,1,حمد لله رب علم اخذ جرع ثني لقح الل جمع صحة عفي
الرئيس يتلقى جرعة لقاح سينوفاك المضاد لفيروس كورونا المدينة الطبية بالعاصمة,celebrity,1,رئس لقى جرع لقح ينف ضاد يرس كورو دين طبة عصم
بالفيديو رسالة ابن مطور لقاح شلل الأطفال لمن يشعر بالقلق لقاح كورونا ,info_news,1,يدو رسل ابن طور لقح شلل طفل لمن شعر قلق لقح كورو
لقاح جونسون آند جونسون يغير قواعد اللعبة ضد كورونا  ,info_news,0,لقح جونس اند جونس يغر قعد لعب ضد كورو
اللاجئون المسنون مخيم الزعتري يتلقون لقاح,info_news,1,لجئ مسن خيم زعتر تلق لقح
خادم الحرمين الشريفين خلال تلقيه لقاح  ,celebrity,1,خدم حرم شرف خلل لقه لقح
مجلة طبية تكشف نسبة فاعلية اللقاح الروسي ضد كورونا ,info_news,1,جلة طبة كشف نسب فعل لقح روس ضد كورو
الصحة   الجرعة الأولى لقاح كورونا يحصل الجرعة الثانية الموعد,info_news,1,صحة جرع ولى لقح كورو حصل جرع ثني وعد
بفضل الله بجهود حكومتنا  اخذت  لقاح  يحق الفخر بهذا الوطن   والله مثلك بهالدنيا بلد ,info_news,1,فضل الل جهد حكم اخذ لقح يحق فخر بهذا وطن ولل ثلك هلد بلد
يلتقي الفريق العلمي بجامعة الإمام عبدالرحمن بن فيصل أنهى التجارب السريرية لإنتاج لقاح فيروس,info_news,1,لقي فرق علم جمع امم عبدالرحمن بن يصل نهى جرب سرر إنتاج لقح يرس
الله يديمك ذخر للأمة العربية والإسلامية ,celebrity,1,الل يدم ذخر امة عرب سلم
ظهور حالة بـ للحاصل جرعات لقاح,info_news,1,ظهر حلة بـ حصل جرع لقح
لقاح فايزر بيونتيك فعال ضد فيروس كورونا المتحور   ,info_news,1,لقح يزر بين فعل ضد يرس كورو تحر
يرغب الحصول تطعيم كورونا اتباع الإجراءات التالية  ,info_news,1,رغب حصل طعم كورو تبع جرء الي
ألله خواصري طب رب تاخدو لقاح الايراني وتريحونا بقا ,personal,0,الل خصر طب رب خدو لقح اير ريحو بقا
طبيب فلوريدا تلقيه لقاح ضد كورونا بأسابيع ردت فايزر  ,info_news,-1,طبب ورد لقه لقح ضد كورو أسابيع ردت يزر
عاجل الوكالة الأوروبية للأدوية لدينا بيانات لقاح أسترا زينكا يقاوم السلالات الجديدة لكورونا,info_news,0,عجل وكل ورب دوي لدي بين لقح سرا زين قوم سلل جدد كورو
بريطانيا تطعيم شخصا دقيقة ضد المملكة المتحدة,info_news,1,برط طعم شخص دقق ضد ملك تحد
كنت الفئات الأكثر تأثر بمضاعفات فيروس كورونا,advice,1,كنت فئت كثر أثر ضعف يرس كورو
شخص حصلوا  لقاح والعدد تزايد  يتم منح لكل يحصل  جرعتي لقاح كورونا  كورونا انحسار بالسعودية,info_news,1,شخص حصل لقح عدد زيد يتم منح لكل حصل جرع لقح كورو كورو حسر سعد
ريبورتاج تركيا تبدأ حملة تطعيم ضد فيروس كورونا باستخدام لقاح سينوفاك الصيني,info_news,1,ريبورتاج ترك بدأ حمل طعم ضد يرس كورو باستخدام لقح ينف صين
سبب الإصرار اللقاح الأمريكي وجود مصادر أمانا,rumors,0,سبب صرر لقح امر وجد صدر اما
تدريبات وهمية أيام انطلاق برنامج لقاح ,info_news,1,درب وهم ايم طلق رنمج لقح
وزير الخارجية الأمير فيصل بن فرحان يتلقى الجرعة الأولى لقاح فيروس كورونا,celebrity,1,وزر خرج امر يصل بن فرح لقى جرع ولى لقح يرس كورو
الاحتلال يسجل حالة شلل خفيف بالوجه إثر تلقي لقاح كورونا,info_news,0,حلل سجل حلة شلل خفف وجه اثر تلق لقح كورو
البيض كلمة السر مصري يكتشف لقاح جديد ضد ,info_news,1,بيض كلم لسر صري كشف لقح جدد ضد
الخير   اللي خذ لقاح كوفيد يرفع يده,personal,1,خير الل خذ لقح كوفيد رفع يده
تكون خاطب جديد حماتك بدا لقاح كورونا,personal,0,تكون خطب جدد حمت بدا لقح كورو
صور لعمليات شحن لكميات لقاح فايزر بينها الكمية وصلت اليوم للأردن ,info_news,1,صور عمل شحن لكم لقح يزر بين كمة وصل اليوم ارد
الخبير الشؤون الأوروبية حسين الوائلي يفسر لـ عربي المقصد تصريحات رئيس المجلس الأوروبي بشأن لقاح,info_news,1,خبر شؤن ورب حسن وئل فسر لـ عرب قصد صرح رئس جلس ورب بشأ لقح
نيويورك بوست تطعيم إرهابيا فى معتقل بـ,info_news,1,وير بوس طعم رهب فى عقل بـ
محاسن تتواصل الأبحاث العلمية لإيجاد لقاح للوباء تفتح الباب علاج لأمراض مستعصية تابع,info_news,1,حسن وصل بحث علم إيجاد لقح وبء فتح باب علج أمراض عصي تبع
بالدليل هيكسب أضعاف ثمن شراءه لقاح بيعه للمصريين أحمد سمير  ,plan,1,دلل هيكسب ضعف ثمن شرء لقح بيع صري حمد سمر
سكان السعودية تلقوا لقاح كورونا الان المركز ال عالميا,info_news,1,سكن سعد تلق لقح كورو الن ركز ال علم
 تحديد مبنى الصالة الرياضية  مقرا لتقديم ,info_news,1,حدد بنى صلة ريض قرا قدم
نائب بالكونغرس الأمريكي يصاب بـ كوفيد تلقيه جرعتين لقاح فايزر,info_news,-1,نئب كونغرس امر يصب بـ كوفيد لقه جرع لقح يزر
لقاح جديد لكورونا تظهر فاعليته الجرعة الأولى فقط,info_news,1,لقح جدد كورو ظهر فعل جرع ولى فقط
تلقي جرعته الثانية لقاح فيروس سانجاي غوبتا يشرح الأعراض يعاني الأشخاص,advice,1,تلق جرع ثني لقح يرس سنج غوب شرح عرض يعا شخص
روسيا تعلن استعدادها لتزويد مصر بتكنولوجيا تصنيع لقاح كورونا,info_news,1,روس تعل عدد زود مصر بتكنولوج صنع لقح كورو
خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود حفظه الله يتلقى الجرعة الأولى لقاح كوفيد  ,info_news,1,خدم حرم شرف ملك سلم بن عبدالعزيز ال سعد حفظ الل لقى جرع ولى لقح كوفيد
الرئيس التركي يتناول جرعة لقاح المخصص للشعب يستطيع فعلها وتناول اللقاح الصيني,celebrity,1,رئس ترك نول جرع لقح خصص شعب تطع فعل نول لقح صين
مراسل أحمد العناني تطعيم مليون شخص باللقاح والإغلاق العام سبب انخفاض أعداد الإصابات والوفيات بـ,info_news,1,رسل حمد عنا طعم ملي شخص لقح غلق عام سبب خفض عدد اصب وفي بـ
 الامريكيون يريدون تجربة اللقاح الدول الاخرى,requests,1,امر يرد جرب لقح دول خرى
الحمد لله ان المحمول ماكانش يد الجميع ايام لقاح شلل الاطفال زمان مصر لسة شلل الاطفال زي البرد كدة,info_news,1,حمد لله ان حمل ماكانش يد جمع ايم لقح شلل طفل زمن مصر لسة شلل طفل زي برد كدة
سمو أمير منطقة يتلقى ويتفقد مركز استقبال المتقدمين اللقاح ,celebrity,1,سمو امر نطق لقى فقد ركز قبل تقدم لقح
الرئيس روحاني وزارة الصحة رفضت طلب شركات اجنبية اختبار لقاح كورونا مواطنينا ,info_news,1,رئس روح وزر صحة رفض طلب شرك جنب خبر لقح كورو وطن
تلقى سمو أمير منطقة الرياض الجرعة الأولى لقاح كورونا كوفيد بحضور معالي وزير الصحة,celebrity,1,لقى سمو امر نطق ريض جرع ولى لقح كورو كوفيد حضر علي وزر صحة
الفنان حسين الجسمي يتلقى الجرعة الأولى لقاح كورونا,celebrity,1,فنن حسن جسم لقى جرع ولى لقح كورو
تعلن إطلاق موقع حجز وتسجيل لقاح رسميا آخر الشهر الجارى ,info_news,1,تعل طلق وقع حجز سجل لقح رسم اخر شهر جرى
لقاح فايزر الامريكي يقتل شخصا النرويج وحدها,info_news,-1,لقح يزر امر قتل شخص روج وحد
إيران تصادق استخدام سبوتنيكالروسي التطعيم ضد كورونا ,info_news,1,اير صدق خدم سبوتنيكالروسي طعم ضد كورو
ثقة لدينا بلد يبيد الش عوب لأجل مصالحه المتوقع إصطياده أيض بحجة كورونا,info_news,-1,ثقة لدي بلد يبد الش عوب أجل صلح توقع صطياد ايض بحج كورو
متل المليون لقاح تاع الحريري بكرا بيطلعوا,info_news,1,متل ملي لقح تاع حرر بكر طلع
اللقاح الامريكي يقدم ضمان للفعالية طويلة المدى بدون آثار جانبية ,info_news,-1,لقح امر قدم ضمن فعل طول مدى بدن اثر جنب
الإمام الخامنئي دخول اللقاحين الأميركي والبريطاني إيران ممنوع كونه لقاح اختبار الشعوب  ,info_news,-1,امم خامنئ دخل لقح امر برط اير منع كون لقح خبر شعب
الاستاذ محمد عبده يتلقى جرعة لقاح كورونا,celebrity,1,ساذ حمد عبد لقى جرع لقح كورو
اختبارات مزيج لقاحي سبوتنيكو أسترازينيكا ستجرى دول اثنتان عربية  ,info_news,1,خبر زيج لقح سبوتنيكو استرازينيكا جرى دول اثن عرب
إقبال موظفي شرطة دبي للحصول جرعات لقاح كورونا   التفاصيل  ,info_news,1,قبل وظف شرط دبي حصل جرع لقح كورو فصل
وكالة أنباء البحرين فايزر تبلغ المنامة تأجيل تسليم شحنات لقاح كورونا كانت مقرر خلال الشهر الجاري,info_news,1,وكل باء بحر يزر بلغ نام أجل سلم شحن لقح كورو كانت قرر خلل شهر جري
الملكة إليزابيث والأمير فيليب يتلقيان لقاح كورونا ويثيران التكهنات وقت حرج الجائحة بريطانيا,celebrity,1,لكة اليزابيث امر يلب تلق لقح كورو يثر تكه وقت حرج جئح برط
لقاح فايزر فعال ضد السلالة البريطانية والجنوب أفريقية كورونا ,info_news,1,لقح يزر فعل ضد سلل بريطانية جنب فرق كورو
السفير الأمريكي السعودية يتلقى الجرعة الثانية لقاح فيروس كورونا,celebrity,1,سفر امر سعد لقى جرع ثني لقح يرس كورو
اي حدن بيسألني بدك تاخد لقاح  بكل ثقة الا بلقاح الجمهورية الإسلامية  لان التاريخ علمنا ناخد الا,personal,-1,اي حدن سأل بدك تخد لقح بكل ثقة الا لقح جمهور سلم لان ارخ علم نخد الا
بدن يجيبو لقاح كورونا وبنادول عنا  يحرق حريشكن  اسمع الخبر بموت الضحك ,others,-1,بدن جيبو لقح كورو ندل عنا حرق حرش سمع خبر بمت ضحك
ممثل خامنئي مدينة كاشان عباس سليماني الدول الأوروبية تريد شراء لقاح الإيراني,info_news,1,مثل خامنئ دين كاش عبس سلم دول ورب ترد شرء لقح اير
وسط مخاوف انهيار جهود مكافحة الفيروس نقص حاد جرعات لقاح بعدد الدول الأوروبية ,info_news,0,وسط خاف هير جهد كفح يرس نقص حاد جرع لقح عدد دول ورب
مصر تتسلم أولى شحنات لقاح أسترازينيكا ,info_news,1,مصر سلم ولى شحن لقح استرازينيكا
  الدفعة الثانية لقاح تصل أرض السلطنة  ,info_news,1,دفع ثني لقح تصل ارض سلط
ردود فعل الاصدقاء تلقيهم مطعوم كورونا امس واليوم سلامات والله يبعد الجميع شر الوباء,personal,1,ردد فعل صدقاء تلق طعم كورو امس يوم سلم ولل بعد جمع شر وبء
ناد بريطاني للأثرياء فقط ينقلهم الإمارات والهند لتلقي لقاح كورونا  ,info_news,1,ناد برط ثرياء فقط نقل امر هند تلق لقح كورو
تقديم جرعة لقاح خلال الـ ساعة الماضية ,info_news,1,قدم جرع لقح خلل الـ سعة اضة
متحدث الصحة مليون مسجل تطبيق صحتي لأخذ لقاح  ,info_news,1,تحدث صحة ملي سجل طبق صحت أخذ لقح
بصراحة لازم نلاقي لقاح للنفسيات المعفنة المحمضة لانو الوضع يحمل ابدا,unrelated,0,صرح لزم نلق لقح نفس عفن حمض لنو وضع حمل ابد
عاجل      وزارة الصحة تعتمد لقاحي أسترازينيكا وموديرنا لقاح فايزر     السعودية,plan,1,عجل وزر صحة عمد لقح استرازينيكا ودر لقح يزر سعد
ماكرون لقاح أسترازينيكا فع ال تقريبا لمن تجاوزوا عاما ,info_news,-1,اكر لقح استرازينيكا فع ال قرب لمن جوز عما
وزارة الصحة تذك   الحصول الجرعة الثانية لقاح كورونا يعني عدم الالتزام بالإجراءات الوقائية,info_news,0,وزر صحة تذك حصل جرع ثني لقح كورو يعن عدم لزم جرء وقي
الأطباء يؤكدون أمان وأهمية لقاح مواجهة الفيروس وحماية الفرد والمجتمع ,info_news,1,طبء ؤكد امن أهم لقح وجه يرس وحم فرد جمع
