text,category,stance
لأنهم يعلمون أنه لقاح_آمن وضعوا عقوبات الشركة تقوم بتركيبه ولأنهم يعلمون ايران بأمانة أنيس النفوس وضعوا عقوبات العتبة_الرضوية_المقدسة امريكا_الشيطان_الاكبر,info_news,1
الحمدلله أخذت الجرعة الثانية تطعيم كوفيد الله العافية والسلامة الوباء,personal,1
تمخضت وزارة الصحة فأنجبت لقاح إنت وحظك يابتقول يارب يابتروح عنده واحنا مالناش دخل بدنا واسطه,personal,0
حسبنا الله ونعم الوكيل شكلهم حيعطوهم لقاح لجماعتهم ولي يعز عليهم عندما يغادرون المملكة زي الأدوية الي تتهرب أثر الميزانية حق الصحة ماتنصرف المواطن ومستشفيات البلد عشان الميزانية ماتكفي,requests,0
إيران تعلق استيراد جرعة لقاح فايزر قرار خامنئي منع استيراد اللقاحات,info_news,1
لجنة الطوارئ برئاسة رئيس الوزراء تناقش توفير لقاح كورونا لليمن سبأ نت,plan,1
بايدن يتلقى الجرعة الثانية لقاح كورونا,celebrity,1
دراسة لقاح فايزر يزيد رغبة الل حس الصحافي الجلجوء,others,1
تركيا وصول الدفعة الثانية لقاح كورونافاك الصيني,info_news,1
النائب العام سعود المعجب يتلقى الجرعة الأولى لقاح كورونا اليوم معربا شكره العميق للقيادة الرشيدة لسرعة توفير اللقاح للمواطنين والمقيمين ومؤملا انتهاء الجائحة قريبا بفضل الله بفضل الجهود المخلصة لوزارة الصحة بتوجيه خادم الحرمين الشريفين وولي عهده حفظهما الله,celebrity,1
ورد_الآن وزير الصحة ضرورة لإجراء فحص الأجسام المضادة اللقاح عاجل كورونا_الأردن لقاح_كورونا هنا_المملكة,plan,1
دكتورة حامل الشهر الثامن الولايات المتحدة الأمريكية خذت تطعيم كورونا ان مصرح للحوامل حاليا لكنها قالت ببساطة احمي نفسي واللي بطني افضل اني اكون حامل واصاب بكورونا وانت ويهك مربع وتدخن يوم وتخاف التطعيم خذ التطعيم تنشر اشاعات خاطئة,info_news,1
نحنا بنادول عنا بدو يكون عنا لقاح كورونا تك كير بيبي سوا,info_news,1
بالفيديو معالي الدكتور أحمد بن محمد السعيدي وزير الصحة يتلقى الجرعة الثانية لقاح كوفيد بمجمع بوشر التخصصي,celebrity,1
منظمة دولية العالم وشك فشل أخلاقي توزيع لقاح كورونا,info_news,1
ان وعد العالم بلقاح تركى الصنع سيقدمه للبشريه أردوغان يتلقى لقاح صينى ازى الصحه بقى,celebrity,1
القائد الاعلى للقوات الجوية الاسبانية يستقيل منصبه اتهامه بالحصول لقاح ان يحين دوره مش عم بمزح,info_news,1
لقاح كورونا فايزر_بيونتيك المعتمد وزارة الصحة حصري السيسي حراميته مجرمينه لقاح مودرن الامريكي للأطباء لقاح كورونا الصيني تسبب غيبوبه دائمه لسياسي مصري الامارات سيعطى للشعب المصري وهذا مبدأ اي انقلاب الأشياء الجيده للحاكم وشلته والسيئة القاتله للشعب,info_news,1
مستشار الرئيس للصحة يؤكد التعاقد رسمي مليون جرعة لقاح ضد كورونا,plan,1
هنغاريا توقع عقدا اقتناء لقاح سبوتنيك الروسي ضد كورونا,info_news,1
تركيا وزير الصحة يتلقى أولى جرعات لقاح كورونا الصيني,celebrity,1
أبوظبي الإمارات تعلن توفير لقاح كورونا للجميع بدءا سن عاما,info_news,1
للفيروسات نهاية أهمية وجود تطعيم فعال ضد كورونا وام برق_الإمارات,info_news,0
نوال الزغبي تلتقي لطيفة دبي وتوضح حقيقة تلقيها لقاح كورونا,celebrity,0
صورة تغني كلمة حفظ الله خادم الحرمين الشريفين ورعاه وشكرا قدمه دعم بداية الجائحة وحرصه سلامة المواطنين والمقيمين بعلاجهم وحصولهم اللقاح مجانا وأمره ببذل الغالي والنفيس صحتنا الله يطول بعمرگ الملك_يتلقى_لقاح_كورونا,celebrity,1
إسرائيل تكشف فعالية لقاح كورونا وتثير أسئلة حول الاستراتيجية البريطانية اندبندنت_عربية_تغنيك,plan,1
فترة كورونا استمرار الرواتب الحكوميين دعم القطاع الخاص للمواطن وللمقيم توفير مؤونة وعدم انقطاعها علاج مجاني للمقيم وللمواطن تلقي اللقاح مجاني للمقيم وللمواطن دولة سوت نفسنا الحمدلله حكمة القيادة والحمدلله السلامة ياوالدنا الملك_يتلقى_لقاح_كورونا,info_news,1
بالمنطق وبعيدا الكيدية الدولة_اللبنانية إعطاء لقاح فيروس_كورونا للاجئين السوريين والفلسطينيين غيرهم بسبب الاكتظاظ السكاني ضمن المخيمات يصعب السيطرة الفيروس حال انتشاره إضافة عدم توفر أدنى السبل الوقائية لديهم للحد انتشاره,personal,1
شاكرة لنعمة وجودي دولة تسعى لتأمين اللقاح لكافة الموجودين أرضها نهاية العام دعونا ننسى فقراء اللقاح دولة تحصل دفعة وإلى يتم احتواء الوباء عالميا تتهاونوا الاجراءات الوقائية لقاح قطر التزم_بالكمامة كوفيد_,personal,1
افضل عقار لكورونا العقار اللى انت ساكن واحسن لقاح لكورونا انك تتلقح فى العقار,personal,0
رابطة أطباء غازي عنتاب عدد الأطباء السوريين العاملين المراكز الصحية التابعة لوزراة الصحة التركية غازي عنتاب تلقوا الجرعة الأولى لقاح فيروس كورونا,info_news,1
العاهل السعودي يتلقى لقاح كورونا وفيديو يرصد الحدث عاجل,info_news,1
النائب الحزب الديمقراطي الامريكي ماري نيومان تطالب نتنياهو بتوفير لقاح كورونا للاسرى الفلسطينيين ردا قرار حكومته استثناءهم برنامج التلقيح نيومان سبق ان اصدرت موقفا مناهضا لسياسات الاستيطان وحصار غزة وجرائم الاحتلال ضد الفلسطينيين,requests,1
زمن الجمهورية الإسلامية الإيرانية العظمى إبتداء القوة الإيمانية والعلمية تمتلكها القوة العسكرية اللا متناهية الى قوة الحب زرعتها قلوب الأحرار العالم العالم إنتظروا واستبشروا فالفرج آت محالة لقاح_آمن,unrelated,0
التنظيم والنظام والمهنية والبشاشة وجهود وزارة_الصحة الجبارة تظهر بوضوح خلال ملامح الرضى والتبسم المرسومة ملامح متلقي لقاح_كوفيد_,info_news,1
سيأتي دولة أمينة لقاح_آمن,info_news,1
فضيحة العيار الثقيل سيد توكل يفضح خطة نظام السيسي لتوزيع لقاح فايزر للمسؤولين اللقاح_الصيني للشعب,plan,1
إعلان تعلن إدارة المدرسة متمثلة بممرضات الصحة المدرسية بدأ تطعيم طلاب الصف السادس ضد مرض التيتانوس الديفتيريا يرجى حضور الفئة المستهدفة للمدرسة يوم الثلاثاء خلال فترة الدوام المدرسي متقيدين بتطبيق البروتوكول الصحي للحد انتشار كوفيد_,info_news,1
دراسة لقاح فايزر يبدو فعالا كورونا المتحور,info_news,1
عاجل دراسة طبية لجامعة تكساس الأمريكية تؤكد لقاح فايزر فعال ضد السلالة المتحورة فيروس كورونا ظهرت بريطانيا وجنوب افريقيا أمريكا,info_news,1
مواطنة عمرها عام تتلقى لقاح كورونا عميد_الامارات,personal,1
مباشرة الأن وصول الطائرة العسكرية الى مطار بوفاريك والتي متنها دفعة لقاح سبوتنيك قادمة العاصمة الروسية موسكو,info_news,1
بسوق عالغبيري لاقوا قاح كورونا_لبنان حقنة زوم سردين وهياهم عايشين بشكل طبيعي,personal,1
الشرق_عاجل استقالة منصف السلاوي رئيس فريق البيت الأبيض المكلف بتطوير لقاح كورونا عاجل,info_news,0
لقاح فايزر بيوانتك وفق لبيانات شركة فايزر المنشورة لقاحها فعال بنسبة تقريب الجرعة الأولى,info_news,1
أمير سعودي يجيب اتهام بحصوله واسطة لتلقي لقاح مضاد لفيروس كورونا,info_news,1
أفضل عقار لكورونا العقار الي انت وأحسن لقاح لكورونا أنك تتلقح بنفس العقار درهم_وقاية,personal,-1
أهم یقدمه موقع مجاهدي_خلق الإیرانیة ینایر إيران العقوبة التلقائية لعدم شراء لقاح_كوفيد_ كورونا وزارة الخارجية الأمريكية تدرج الحوثيين اليمنيين وثلاثة قادتهم قائمة الإرهاب عملية إعدام إعدام سجينا سياسيا إيران عام,info_news,0
لقاح كورونا كنيسة إنجلترا تتهم الاتحاد_الأوربي بمخالفة المسيحية رابط تخطي الحجب للمزيد,unrelated,0
عاجل الرئيس الأمريكي جو_بايدن سنعمل تطعيم مليون شخص باللقاح المضاد لكورونا خلال المئة يوم الأولى فترتي الرئاسية وجهت حكام الولايات والوكالات الفيدرالية بالتنسيق المشترك لمواجهة جائحة كورونا سأوقع إعلانا تنفيذيا بتعويض الولايات بسبب تداعيات فيروس كورونا,plan,1
عاجل فرنسا توصي باستخدام لقاح أسترازينيكا المضاد لفيروس كورونا لمن عاما فقط,plan,1
عضو لجنة الأوبئة عزمي محافظة للمملكة الحوامل والمرضعات واللاتي يخططن للحمل يستثنين مطعوم كورونا عاجل الأردن_ حكاية__عام هنا_المملكة,info_news,1
الحكومه وصول جرعة لقاح استرازينيكا فى كورونا للتفاصيل,plan,1
كامالا هاريس تتلقي الجرعة الثانية لقاح كورونا,celebrity,1
إهداء لوالدنا وقائدنا الملك_يتلقى_لقاح_كورونا برد سلام رب فاجعل نفعها عمر مديد يدوم سناه الملك_سلمان حروف بصوتي علي_مشيبة,celebrity,1
الملك_يتلقى_لقاح_كورونا لاحظوا مدة المقطع ثانية فقط راقب ساعته مرتين وهناك قاعدة تحث الدقة تقول أضبط ساعتك مواعيد سلمان لأنه معروف أمير الرياض بدقة مواعيده وإهتمامه بالوقت اللهم أحفظه بعينك لاتنام,celebrity,1
بيل غيتس يجب نعود كنا رغم أننا سيكون بمقدرتنا صنع لقاحات بسرعة بفضل التقنية الجديدة الموجودة لقاح فايزر علينا نكون مستعدين للوباء القادم ونريد نستثمر الفحوصات وفي فريق متكامل نسميه فريق إطفاء الوبائيات يذهب يوجد الوباء الجديد,info_news,1
دون_تعليق مدير منظمة الصحة العالمية مليون جرعة اللقاح تم إعطاؤها يقل دولة دخل مرتفع وهناك جرعة فقط أعطيت البلدان الدخل المنخفض سلملي كوفاكس وال مليار لقاح تبع الفقراء بس_هيك,info_news,1
الشرق_عاجل مصر تمنح الترخيص الطارئ لاستخدام لقاح كوفيشيلد أسترازينيكا عاجل,info_news,1
إصابة شخصا بشلل فى الوجه تلقيهم لقاح كورونا بإسرائيل,info_news,-1
خبر سعيد للعالم مختبر بايونتيك بيان رسمي لقاح_كورونا فايزر يتمتع بفعالية ضد السلالة البريطانية والجنوب إفريقية فيروس كورونا المتحور رسميا خوف بإذن الله يأخذ اللقاح سلالة لكورونا,info_news,1
اتصالات الجزائر روسيا لتصنيع لقاح سبوتنيك_ الجزائر,info_news,1
الوزير الأول وسط المواطنين يتقدم لتلقي لقاح سبوتنيك الروسي,celebrity,1
فايزر تتوقع مبيعات بقيمة مليار لقاح كورونا,info_news,1
الصحة ظهور حالة محصن الجواز_الصحي بتطبيق توكلنا تلقي الجرعة الثانية لقاح كورونا الوطن_اكثر_من_ذلك,info_news,1
الصورة الكريمة لخادم الحرمين الشريفين الملك سلمان بن عبدالعزيز أبلغ الكلام وهي تقطع يشكك استخدام اللقاح الملك_يتلقي_لقاح_كورونا العميد متقاعد حسن الشهري أحداث,info_news,1
قريبتي تلقت الجرعة الثانية لقاح اسبوع الجرعة الثانية اتت نتيجة فحص ايجابية اللقاح بدأ يعمل ضد كورونا اواخر اسابيع الحمل,personal,1
دراسة لقاح فايزر بيونتيك فعال ضد فيروس كورونا المتحور,info_news,1
بالفيديو وفاة شخصا تلقي لقاح فيروس كورونا النرويج والسبب,info_news,-1
اللقاح_للبناني_أولا امس مشاهيركم عندنا يتسولون لقاح واليوم صرتوا أولا شلون,personal,0
الحمدلله اخذت شوي الجرعه الثانية لقاح كورونا الله ينفع يارب والله يعز دولتنا وحكومتنا شيء يقدمونه,personal,1
أعلن رئيس البلدية آبي بيناي مدينة مكاتي حصلت مليون جرعة لقاح,info_news,1
اللقاح_للبناني_أولا ردا كمية الاستفراغ العنصري بالهاشتاغ انا لبناني بتبرع لقاح مدفوع لاجى بالاراضي اللبنانية ذوي الامراض المزمنة يتامن اللقاح المدفوع مين يساعدني بتحديد المستفيدين,personal,1
فيديو_واس السفير الأمريكي المملكة عقب تلقيه لقاح كوررنا كوفيد_ أؤكد للمجتمع الأمريكي اللقاح آمن وفعال والتنظيم والكفاءة السعودية شهدتهما اليوم كانا غاية الروعة نعود_بحذر واس_عام,celebrity,1
هرولة الحكومة العراقية لـ لقاح فايزر الأمريكي أمريكا الدولة لحد تتصد العالم بالإصابات خطوة مشبوهة خلفها مصالح أمريكية لـ كسب المال وأطراف حكومية فاسدة تشتري الجرعات بأسعار مضاعفة تشتريه باقي الدول لـ الل قاح نريد_لقاح_آمن,plan,1
الدولة الشعب هايجين البارحة لان وحدة المستشفيات ورا لقحت الستاف بقه لقاح ال لازم يستخدم خلال ايام تذويبه المهم فه جانت حتخلص ال ايام بذيج الليلة فابو المستشفى ملقح كرايب العاملين ضمنهم جهالة ثنين كتب رسالة اعتذار يابه جان حيروح بالزبل,info_news,1
الرئيس دياب ترأس اجتماع اللجنة الوزارية لمتابعة خطة لقاح وباء كورونا صرخة الناس مفهومة ومسموعة ونحن بحاجة للصبر أيام معدودة نبدأ نلمس نتائج نريد إهدار الإقفال بقرارات متسر عة,info_news,1
روسيا تعلن لقاح_كورونا الثاني معهد فيكتور فعال بنسبة عاجل فيروس_كورونا هنا_المملكة,info_news,1
الجزائر عملية إنتاج لقاح سبوتنيك_ تنطلق الأسابيع المقبلة,info_news,1
نائب أمير الرياض يتلقى الجرعة الأولى لقاح كورونا,celebrity,1
هشيمة يتبرع بـ مليون الهواء مبدئيا لصندوق تحيا مصر لتوفير لقاح كورونا فيديو,info_news,1
الاتحاد الأوروبي يوافق لقاح أسترازينيكا المضاد لكورونا لمن عاما,plan,1
قدمت الإمارات ملايين جرعة لقاح كورونا الله يحفظك وطني مجهوداتك اخترت_التطعيم يدا_بيد_نتعافى,plan,1
عاجل تلقى خادم الحرمين الشريفين الجرعة الأولى لقاح كورونا يدا_بيد_نتعافى عينك_على_العالم,info_news,1
أنقرة أردوغان يتلقى جرعة أولى لقاح كورونا التفاصيل,celebrity,1
عندما ينزل الدجال سيكون مكتوب جبينه كافر ومع يتبعه خلق كثير بد الناس حينها تعرضوا لسحر او ربما لقاح نوع,personal,-1
بشارة ريادة علمية وطنية معهد الأبحاث الطبية بجامعة الإمام عبد الرحمن بن فيصل بالمنطقة الشرقية توصل لقاح ضد كوفيد بقيادة إيمان المنصور دكتورة الهندسة الطبية الحيوية والتقنية ثقتي هذااللقاح أكبر غيره لانتفاء التنافس التجاري وعدم التسرع الإعلان عنه,info_news,1
قالت اشتقتلكن اخدت لايك ليش شو شو شو عملت للحياة مثلا لقاح كورونا اخد هلقد,unrelated,0
لله الحمد تلقيت الجرعة الثانية لقاح كورونا منسوبي وزراة الصحة أبناء بنات الوطن يستحقون الشكر التقدير حسن التنظيم تعاملهم الراقي اخلاقهم الرفيعة الحمد الشكر لله أكرمني بوطن يقدم الانسان شيء وطن يفرق مواطن مقيم المخالف,personal,1
الصحة تعلن تقديم جرعة لقاح كوفيد_ خلال الساعات الـ الماضية والعدد الإجمالي اليوم جرعة وام,info_news,1
وفاة أشخاص تلقوا لقاح كورونا والسلطات الصحية الأوروبية تنفي علاقة بأعراض التطعيم العربي_اليوم,info_news,-1
اوكي انا باغي ولاد باغي نتزوج ممكن منديرش لقاح,unrelated,0
فسروها انتوا بقى تطعيمه بجرعتين لقاح فايزر كبير حاخامات تل أبيب يصاب بكورونا المدهش ان الشركه المنتجه اخدت براءه اى عوارض جانبيه الموت والاكثر دهشه انها قالت لابد ارتداء الكمامه التطعيم ههههههه التطعيم ده شكله مايه الجلد بيلموا بيها فلوس,celebrity,-1
العالم عم تتشكر بلدا كرمال لقاح الكورونا ونحن هون عارفين اذا رح نموت الجوع او المرض بكل الاحوال صباحو,others,0
حرمان المواطنين الإيرانيين اللقاح ينذر بمآلات خطيرة خامنئي_عدو_مشترك لقاح_كورونا لقاح_فايزر لقاح_كوفيد_ لقاح_فيروس_كورونا,info_news,0
روسيا والجزائر تعاون لإنتاج لقاح سبوتنيك روسيا الجزائر,info_news,1
الحمدلله نعمة المملكه_لعربيه_السعوديه تم التطعيم بالجرعة الاولى لقاح كورونا الله ينفع احتراف تنظيم حفاوة سلاسة شكرا وزارة الصحة شكرا وطني,personal,1
مصر هتستخدم لقاح نصر المطور فى معامل القوات المسلحة,info_news,1
أعلنت الحكومة السورية قليل عدم تها شراء لقاح كورونا للشعب السوري لأنه يتم تهريبه لبنان الأسبوع الأول شهر,info_news,0
مليون جرعة التلقيح حول العالم ملايين الإمارات وهي الدول العالم نجحت استراتيجيا ولوجيستيا وإنسانيا مكافحة الفيروس اللعين دخلت اليوم مكتبي محصنة بجرعتي لقاح يغبطني عليهما أصدقاء واشنطن ولندن ومدن أخرى مازالت تحاول استدراك ارتباكها,plan,1
عملية شراء لقاح كورونا تركيا تم بشكل سري ومغلق لانه مخصص لمؤيدين سياسة اردوغان والمعارضين الجحيم,info_news,1
يتلقى السفير الأمريكي جون أبي_زيد الجرعة الثانية لقاح كوفيد_ وقد السفير أبي_زيد خلال زيارته لمركز اللقاح أود أؤكد للمجتمع الأمريكي اللقاح آمن وفعال التنظيم والكفاءة السعودية شهدتهما اليوم كانا غاية الروعة,celebrity,1
عبدالله بن دفنا تلقيه جرعة لقاح كوفيد_ أنصح الجميع بالتطعيم حفاظ سلامتهم وسلامة أسرهم اخترت_التطعيم,celebrity,1
لقاح كورونا بريشة دعاء_العدل,others,0
وزيرة الصحة مصر دولة إفريقية تبدأ التطعيم بلقاحات فيروس كورونا العربية,info_news,1
بكره موعد لقاح امي للكورونا والحامي رب العالمين طبعا سألت اكثر شخص وانا مقتنع بالموضوع وجدة صاحبي اخذته اسبوع وامورها طيبة والحمد لله,personal,1
بدء تلقي أبره لقاح بالأمس تولد لدينا شعور بعوده الحياه الطبيعيه جديد,personal,1
طؤبرني معليش فيك تحكينا بمؤامرة اللي بدو يفو شريحة صغيرة جسمك يقدر يتحكم فيك ويسحب معلومات عنك تعمل لقاح الكورونا وانت يومين عامل شروط واتساب الجداد بلا تقراهن هودي ال التانيين اللي عاملن حكينا بال,personal,1
للمعلومية حصول السفير الأمريكي المملكة لقاح كورونا اكد السفير مكان امن للوقاية فيروس كورونا العالم فهو المملكة العربية السعودية,celebrity,1
فرحة سعودي يتلقى لقاح كورونا والسبب ابنته تعطيه التطعيم,personal,1
وهاب يعلن تلقيه لقاح كورونا دبي أعرف يمنع لبنان الإستعجال الحصول,celebrity,1
الحمدلله وبفضله تم الجرعة الثانية لقاح_كوفيد_ الأولى الرياض الثانية الظهران تنافس رائع وجميل أحسن استقبال وأفضل خدمة وأجمل تنظيم أقول الحمدلله نعمة السعودية_العظمى,personal,1
لقاح السم لهالسلطة كاملة قضاء وقدر صار_الوقت,unrelated,0
قرار رفض اللقاحات المشكوك يتم اختبارها بشكل بشأن التكنولوجيا السلامة الموثوقية حق قابل للنقاش لقاح_آمن,info_news,0
قدمت أمازون عرضها لمساعدة بايدن الإسراع توزيع لقاح كورونا أشهر السكوت التام طرح تساؤلات حول كانت أمازون قدمت عروضا مماثلة لإدارة ارامب قدمت أمازون مساعدتها بمجرد ان تولي بايدن منصبه وفقا نيويورك_بوست,plan,1
اللقاح الروسي سبوتنيك يصنف المرحلة اللقاحات الأكثر فاعلية ضد كورونا,info_news,1
الحمد لله تلقيت اليوم الجرعة الثانية لقاح_كوفيد_ التنظيم والاستقبال والأداء منظما ومناسبا كانت الجرعة الأولى أتقدم بالشكر لقيادتنا الرشيدة لحرصها الدائم صحة الفرد والمجتمع وأذكر الجرعة الأولى بضرورة الجرعة الثانية موعدها حفظكم الله,personal,1
حبيت اذكركم انه احداث فيلم كانت بتدور عام والناس تحولت بسبب لقاح غلط,info_news,1
وزير الصحة التركي يؤكد ضرورة تلقي الجميع لقاح كورونا ضمان عودة الحياة طبيعتها,info_news,1
بقلم_المقاومة على_نهج_حزب_الله طلب احدهم الحكومة تخصيص المبلغ لاستيراد لقاح فايزر فقط يعتبر خسا سة تعودنا عليها البعض الحكومة مشكلة شركات وناس خلوقة محترمة ممكن تستجلب اللقاحات حصارنا وتركيعنا صعبة تحصلوا عليها بالسلم بالحرب وأملنا بالله كبير,info_news,1
تعلم فيلم أحداثه تدور عام وفيه تحول الناس زومبي بسبب لقاح خاطئ,unrelated,0
اللقاح الأمريكي ينجح الاختبارات السريرية ورغم ذالك تم اعتماده بشكل رسمي بسبب الوضع الحرج تمر امريكا نريد_لقاح_آمن,info_news,-1
لأنه إنتاج أياد طاهره وعقول مدهشه وقلوب نقيه ولأنهم الثقه أثق باللقاح الإيراني لقاح_آمن,info_news,1
الحصول لقاح كوفيد أمر اختياري السويد ومتوفر بشكل مجاني للمقيمين وبحسب إحصاءات هيئة الصحة العامة السويدية فقد حصل قرابة الـ شخص لقاح كوفيد السويد المقرر يحصل البالغين النصف الأول عام,plan,1
سمعت النهارده ضيف قناه مصر بيقول ان لقاح الكورونا مش عارفين مدى فعاليته وانه مش مهم اوى الكل ياخده ومش عارفين هايفضل اد ايه فى الجسم وبعد اد ايه ممكن الانسان يتعدى تانى الفيرس علشان مش عارفين يوفروا يجيبوا لينا اللقاح فقرروا يقللوا اهميته ايه,info_news,1
تتوقع شركة تصل إيراداتها العام مليار لقاح فيروس كورونا طورته بالتعاون تجارة قديمة جديدة تتطور حاليا ويكذب يقول العالم كله خاسر الجائحة,info_news,1
العاهل المغربي يدشن حملة التطعيم ضد كورونا بتلقيه اللقاح المضاد للفيروس,plan,1
عطوهم وظايف المواطنين وخلوهم مدراء عليهم وباعوا الفيز واحتلونا بارضنا وبطاقة زائر تنباع البسكوت جت لقاح عادي مجرد لقاح تفرق فقط يثبتون انو ارض السعوديه ارض الله وخيرها للمسلمين وللكفار احنا للجميع ماشاءالله,personal,0
رغم تلقيه جرعتي لقاح فايزر النائب الديموقراطي الكونغرس الأمريكي ستيفن لينش يصاب بفايروس كورونا نيوز,personal,-1
منظمة إسرائيلية تكشف فعالية لقاح_فايزر الجرعة الثانية,info_news,1
عاجل بايدن أعتقد أنه بإمكاننا تطعيم مليون ونصف أمريكي اليوم,info_news,1
والله مجرمين منثق بأي لقاح منهم نريد_لقاح_آمن,info_news,1
السيد خامنئي يحظر استيراد لقاحات أميركية وبريطانية مضادة لكورونا إيران ردي يقول بتعليقه تغريدة سابقة ان ايران طلبت لقاح فايزر,plan,1
نائبة الرئيس الأميركي تتلقى الجرعة الثانية لقاح كورونا العربية,celebrity,1
صور لأولى شحنات لقاح أسترازينيكا وصلت اليوم المغرب,info_news,1
