text,category,stance
امس مشاهيركم عندنا يتسولون لقاح واليوم صرتوا أولا شلون,personal,0
الحمدلله اخذت شوي الجرعه الثانية لقاح كورونا الله ينفع يارب والله يعز دولتنا وحكومتنا شيء يقدمونه,personal,1
أعلن رئيس البلدية آبي بيناي مدينة حصلت مليون جرعة لقاح  ,info_news,1
تعلن الثاني معهد فيكتور فعال بنسبة  ,info_news,1
 عملية إنتاج لقاح تنطلق الأسابيع المقبلة  ,info_news,1
نائب أمير الرياض يتلقى الجرعة الأولى لقاح,celebrity,1
هشيمة يتبرع بـ مليون الهواء مبدئيا لصندوق تحيا مصر لتوفير لقاح كورونا فيديو,info_news,1
الاتحاد الأوروبي يوافق لقاح أسترازينيكا المضاد لكورونا لمن عاما,plan,1
قدمت الإمارات ملايين جرعة لقاح كورونا الله يحفظك وطني مجهوداتك ,plan,1
عاجل تلقى خادم الحرمين الشريفين الجرعة الأولى لقاح  ,info_news,1
أنقرة أردوغان يتلقى جرعة أولى لقاح كورونا  التفاصيل,celebrity,1
قالت اشتقتلكن اخدت لايك ليش شو شو شو عملت   للحياة مثلا لقاح كورونا اخد هلقد,unrelated,0
الصحة تعلن تقديم جرعة لقاح خلال الساعات الـ الماضية والعدد الإجمالي اليوم جرعة ,info_news,1
وفاة أشخاص تلقوا لقاح والسلطات الصحية الأوروبية تنفي علاقة بأعراض التطعيم ,info_news,-1
اوكي انا باغي ولاد باغي نتزوج ممكن منديرش لقاح,unrelated,0
العالم عم تتشكر بلدا كرمال لقاح الكورونا ونحن هون عارفين اذا رح نموت الجوع او المرض  بكل الاحوال ,others,0
حرمان المواطنين الإيرانيين اللقاح ينذر بمآلات خطيرة  ,info_news,0
روسيا والجزائر تعاون لإنتاج لقاح سبوتنيك ,info_news,1
مصر هتستخدم لقاح نصر المطور فى معامل القوات المسلحة,info_news,1
عملية شراء لقاح تم بشكل سري ومغلق لانه مخصص لمؤيدين سياسة اردوغان والمعارضين الجحيم  ,info_news,1
عبدالله بن دفنا تلقيه جرعة لقاح أنصح الجميع بالتطعيم حفاظ سلامتهم وسلامة أسرهم  ,celebrity,1
وزيرة الصحة دولة إفريقية تبدأ التطعيم بلقاحات فيروس كورونا,info_news,1
بدء تلقي أبره لقاح بالأمس تولد لدينا شعور بعوده الحياه الطبيعيه جديد,personal,1
فرحة سعودي يتلقى لقاح والسبب ابنته تعطيه التطعيم,personal,1
وهاب يعلن تلقيه لقاح كورونا دبي أعرف يمنع لبنان الإستعجال الحصول  ,celebrity,1
لقاح السم لهالسلطة كاملة قضاء وقدر,unrelated,0
قرار رفض اللقاحات المشكوك يتم اختبارها بشكل بشأن التكنولوجيا السلامة الموثوقية حق قابل للنقاش ,info_news,0
اللقاح الروسي يصنف المرحلة اللقاحات الأكثر فاعلية ضد,info_news,1
حبيت اذكركم انه احداث فيلم  كانت بتدور عام  والناس تحولت  بسبب لقاح غلط,info_news,1
وزير الصحة التركي يؤكد ضرورة تلقي الجميع لقاح ضمان عودة الحياة طبيعتها,info_news,1
تعلم فيلم  أحداثه تدور عام وفيه تحول الناس زومبي بسبب لقاح خاطئ,unrelated,0
لأنه إنتاج أياد طاهره  وعقول مدهشه  وقلوب نقيه  ولأنهم الثقه  أثق باللقاح الإيراني ,info_news,1
العاهل المغربي يدشن حملة التطعيم ضد كورونا بتلقيه اللقاح المضاد للفيروس ,plan,1
رغم تلقيه جرعتي لقاح فايزر النائب الديموقراطي الكونغرس الأمريكي ستيفن لينش يصاب بفايروس   نيوز,personal,-1
منظمة إسرائيلية تكشف فعالية الجرعة الثانية ,info_news,1
عاجل بايدن أعتقد أنه بإمكاننا تطعيم مليون ونصف أمريكي اليوم,info_news,1
والله مجرمين منثق بأي لقاح منهم ,info_news,1
نائبة الرئيس الأميركي تتلقى الجرعة الثانية لقاح,celebrity,1
صور لأولى شحنات لقاح أسترازينيكا وصلت اليوم المغرب,info_news,1
فايزر تعلن تزويد بـ مليون جرعة,info_news,1
متحدث صحة يرد المتداول تنسيق جار لتوفير لقاح وفقا للخطة  ,plan,1
كورونا  مدى فاعليته  إجباري  سيمنع   الثامنة ,info_news,0
دلالات فرض لعقوبات مؤسسة تقوم بانتاج لقاح لفيروس,info_news,1
دراسة مجلة لانسيت الطبية تبدد الشكوك حيال فعالية اللقاح الروسي المضاد لكورونا ,info_news,1
اللقاح لازم ينحفظ بدرجة حرارة الصفر والا يفقد فعاليته  شلون نضمن اللقاح آمن ,info_news,1
فريدة الحوسني نهدف أكبر نسبة ممكنة المجتمع  ,plan,1
سلطات تتعهد بتوفير كميات كافية لقاح للمواطنين ,plan,1
كمال صنهاجي إقتناء لقاح الأفضل حاليا لأن الجانب اللوجيستيكي يكون أسهل والوتيرة أسرع,info_news,1
بيسمع رفض الخامنئي للقاح الاميركي والبريطاني بيفكر انو إيران عملت لقاح أفلس بفايزر واكسفورد,personal,1
الله يعز دولتنا وحكومتنا  شكرا وكافة كوادرها مايقدمونه للمواطن والمقيم تعامل وتسهيلات مقرات,personal,1
أطباء أردنيون يسعون لإنتاج لقاح وطني ضد فيروس كورونا فيديو   ,info_news,1
لقاح السعودية أكبر حملة تطعيم تشهدها المملكة  ,info_news,1
تتسلم جرعة لقاح أوكسفورد أسترازينيكا الم لفيروس مقدمة وكالة الأنباء الرسمية,plan,1
شاهد الملك محمد السادس شمر ذراعه اليمنى لتلقي لقاح كورونا ,celebrity,1
البيض المخصب باحث مصري ينتج لقاح ضد,info_news,1
حمد الطبية شهادة تطعيم لمن تلقى جرعتي لقاح كورونا أيام ,info_news,1
تعتقدون كفر الإمارات رفض تكفير داعش سيأخذ لقاح كورونا المصنوع اليهود والنصارى والكفار ,others,-1
غييير مؤيدة اسمه تطعيم إجباري يعني ياتطع يانضي حياتك وحر يتك,personal,-1
أردوغان يتلقى لقاح كورونا صور عاجل ,info_news,1
اسابيع تلقيه الجرعة الأولى مباشرة الهواء لتعزيز ثقة الجمهور,info_news,1
وزير دفاع إسرائيل سننقل آلاف جرعة لقاح كورونا الفلسطينيين لتطعيم الكادر الطبي,info_news,1
ولاية برازيلية تطلب المحكمة ترخيص لقاح سبوتنيكللاستخدام الطارئ بشكل عاجل ,plan,1
محمد فهمي اقترحنا ان يكون للذكور الاولوية تلقي لقاح كورونا,requests,1
تبدأ تصنيع لقاح مضاد لكورونا بالتعاون خبراء دوليين  ,info_news,1
فينا نعمل تصويت طائفة لازم تاخد اللقاح بالأول  ,others,1
ولله الحمد تلقيت  قليل الجرعة الأولى لقاح العاصمة  نسأل الله ان ينفع ويجزي وسمو خير الجزاء,personal,1
بالفيديو خادم الحرمين الشريفين يتلقى الجرعة الأولى لقاح كورونا  ,celebrity,1
توج نصائح للتغلب أكبر معوقات حصول البعض,advice,1
روسيا اليوم بولندا تسجل أثر جانبي بالغ ناتج استخدام لقاح ضد كورونا,info_news,1
سمير صفير السعودية أشكر الملك سلمان وولي عهده ووزارة الصحة وهذه رسالتي للحاقدين  ,plan,1
قناة روسيا اليوم لقاح روسي شكل بخاخ الأنف ضد كورونا يظهر استجابة مناعية وأمان عاجل عبر تطبيق ن ,info_news,1
الحريري يريد ان يستقدم مليون جرعة لقاح شخصي   شخصي طب خود معك جاكيت كتير,plan,1
حفظه الله يتلقى الجرعة الأولى لقاح كورونا كوفيد ,celebrity,1
شاء الله تعالى يكون يتم تطعيم اكثر الطلاب والطالبات,personal,1
وزارة الصحة ترخص استخدام لقاح أكسفورد ودفعة تصل خلال أيام,info_news,1
سؤال  أخذت لقاح بحتاج لشهادة فحص نويت اسافر وبعد العودة يلزم علي الحجر الصحي   ,restrictions,1
مدير السجون المكلف اللواء ماجد بن بندر الدويش يتلقى الجرعة الأولى لقاح كوفيد   ,celebrity,1
مليون سلامة ياوالدنا وقائدنا الغالي  نسأل الله الصحة والعافية  ,celebrity,1
الإفتاء يجوز توجيه أموال الزكاة لتوفير لقاح فيروس كورونا  ,info_news,1
الحرمين الشريفين يتلقى لقاح فيروس كورونا,celebrity,1
وبعد غد تبدأ الطواقم الطبية بيت لحم بتلقي لقاح كورونا,info_news,1
يحدث الأن تعلن وصول جرعة لقاح أسترازينيكا,info_news,1
الخير السكان الاصليين  وصلكم اللقاح خلصوه اللبنانيين ,info_news,1
الوضع الصحي لمتطوعي اللقاح الايراني جيد جدا وتوقعات بانتاج مليون لقاح ايراني خلال اشهر القادمة,info_news,1
طبيب مكسيكي يبلغ العمر عام أصيب بنوبات صرع والشلل تلقيه لقاح فايزر ,plan,0
مناعتنا تزداد اختار فرد المجتمع التطعيم مليوني جرعة لقاح كوفيد زعت دولة الإمارات ليكن خيارك التطعيم,info_news,1
مسؤول إيراني نتفاوض روسيا والصين لشراء لقاح كورونا ,info_news,1
وزير الصحة البولندى يعلن تسجيل أثر جانبى بالغ ناجم لقاح ضد,info_news,0
بينما العلماء يبحثون لقاح لمواجهة الوباء  يبحثون اكبر حزام ناسف ,info_news,0
تركيا تبدأ حملة تطعيم المسنين ضد كورونا ,plan,1
ترفض طلبا لمنظمة الصحة بتوفير للكادر الطبي الفلسطيني  ,info_news,1
كوفيد إسرائيل منظمات حقوقية تقاضي وزير الأمن لرفضه تطعيم الأسرى الفلسطينيين,info_news,1
العالم بلش يوزع لقاح ونحنا بلبنان بعدنا عم نوزع كمامات,requests,0
حقنة وقبلة الابنة لوالدها تلقى الجرعة الثانية لقاح وعبر بعفوية مشاعره  ,personal,1
العربية المتحدةتحصل حقوق انتاج لقاح سينوفارم المضاد لفيروس وصناعته وتصديره لدول العالم ,info_news,1
اليونسيف سنوفر مليار جرعة لقاح لـ دولة فقيرة,info_news,1
محمد بن زايد الإمارات قدمت مليون جرعة لقاح للمواطنين والمقيمين الإمارات اليوم,info_news,1
موقع تطعيم ضد كورونا فرنسا  الثقة بالعلم,plan,1
الي كانوا يصفرون بعلبة اللبان هاذي يسجلون للتطعيم بسكات,personal,0
وصول أولى دفعات لقاح أسترازينيكا أوكسفورد لمصر ,info_news,1
خادم الحرمين الشريفين يتلقى الجرعة الأولى لقاح كورونا كوفيد,celebrity,1
وزير الحج العمرة آمنة الراغب أدائها تلقي لقاح كورونا    ,info_news,1
القائد الوالد يتلقى الجرعة الأولى لقاح كورونا كوفيد ,celebrity,1
المال مقابل لقاح الاستنسابية تطغى عملية توزيع اللقاحات دول العالم   تقرير حسين السيد,info_news,0
خيي بدي لقاح إيراني بدي شي شوكولا إيراني بيتاكل,unrelated,0
مالا تعرفونه لقاح كوفيد الدكتورة فريدة الحوسني  ,advice,1
مجرد سؤال مين ناوي ياخد مطعوم كورونا,personal,0
الدواء الأوروبية تصادق لقاح المضاد لفيروس اللقاح تأثيرات جانبية لمن يعاني حساسية المحار منهم,info_news,1
مليونير كندى وزوجته ينتحلان صفة للحصول,info_news,1
الس اخن شنو يابوي هيدا لقاح او عبارات لموقع إباحي ,personal,0
نائب وزير الداخلية ناصر الداود يتلقى الجرعة الأولى لقاح كورونا كوفيد  ,celebrity,1
حديث ودي أمير منطقة الرياض وزير الصحة مركز تطعيم لقاح كورونا الرياض      ,info_news,1
اخذت الجرعة الاولى لقاح كورونا وبعد يوم باذن الله رح اخذ الجرعة الثانية,plan,1
موسكو مستعدة لتقديم تكنولوجيا لقاح سبوتنيكللقاهرة الفور عبر,info_news,1
انواع اللقاحات الموجودة حول العالم وفي لقاح رح حطه بالتعليق الاول ,info_news,1
وزير الدولة عضو مجلس الوزراء الأمير تركي بن محمد بن فهد خلال تلقيه لقاح فيروس كورونا    ,celebrity,1
الجزائر تبدأ حملة تطعيم ضد فيروس كورونا,info_news,1
عاجل   حفظه الله يتلقى الجرعة الأولى لقاح كوفيد  ,celebrity,1
يخطط لفرض إجراءات عزل عام ويقول الله سيحمي الشعب الوصفات المحلية استنشاق البخار أفضل اللقاحات   ,info_news,-1
وفاة شخصا عقب تلقيهم لقاح فايزر بيونتيك المضاد لـ كوفيد,info_news,-1
استقبل منسوبو وزارة الراغبين الحصول لقاح وسط مال العز,info_news,1
بالفيديو نجاح لقاح سعودي مضاد لفيروس,info_news,1
كمية لقاح استلمته الجزائر روسیا سبوتنيكهو جرعة تقول قليلة,info_news,0
شاهد العاهل السعودي الملك سلمان بن عبد العزيز يتلقى لقاح كورونا ,celebrity,1
محدد موعد لـ لقاح كورونا يوم أخذت هـ الموعد وكل إشاعة اللقاح ألعن اللي قبلها,personal,1
عاجل     وكالة رويترز   ستحصل ملايين جرعة لقاح المضاد لفيروس كورونا غضون أسبوع     السعودية,info_news,1
سمو أمير منطقة يتلقى ويتفقد مركز استقبال المتقدمين اللقاح ,celebrity,1
مطالبات بطرد لحن لبناني تلقيه لقاح كورونا السعودية مجان  ,info_news,0
الكويت ترخص استخدام تطعيم اكسفورد الخاص بفيروس والدفعة الاولية ستصل خلال أيام,plan,1
خبر عاجل عادل السيسي اسرته كوادر مقربه دوائر الحكم اخدوا تطعيم الكوفيد  ,info_news,1
وزير الصحة لقاح سي عطى للرؤساء الثلاثة لأسباب معنوية وأسوة بقادة العالم,info_news,1
الناس بالها مشغول بالكورونا  انا لقاح عينيك شفاني ,unrelated,0
خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز يحفظه الله يتلقى الجرعة الأولى لقاح فايروس كورونا  ,celebrity,1
معالي الشيخ سعود المعجب يتلقى الجرعة الأولى,celebrity,1
صاحب السمو الملكي الأمـير  بن عبدالعزيز  يتلقى الجرعة الاولى لقاح  كورونا كوفيد,celebrity,1
احرص كنت الفئات الأكثر تأثر بمضاعفات فيروس كورونا,advice,1
عبادى الجوهر يتلقى لقاح كورونا ويوجه رسالة شكر الحمد لله تلقيت الجرعة الأولى لقاح كورونا ,celebrity,1
توفي أسطورة البيسبول هانك آرون عام أسابيع فقط تلقيه جرعة لقاح موديرنا ,info_news,0
السلام عليكم دكتور مناف لقاح سينوفارم فعال ضد السلالات الجديدة المتحورة فايروس كورونا  ,rumors,0
عاجل الصحة الإماراتية تعلن تقديم جرعات لقاح فيروس كورونا خلال الـ ساعة الماضية,info_news,1
إستمرار المرحلة الأولى حملة تطعيم الفئات المستهدفة ضد بمحافظة الظاهرة  ,info_news,1
صور يتداولها رواد مواقع التواصل لتكدس المصابين بكورونا المستشفيات اللبنانية فما حقيقتها  ,info_news,0
الوزراء يوضح حقيقة توزيع لقاح كورونا المواطنين وفقا للشرائح الاجتماعية  ,info_news,1
بالفيديو مبادرة عالمية تهدف لتوزيع ملياري جرعة لقاح كورونا الدول الفقيرة ,info_news,1
هيدا اكيد عامل لقاح هندي لانو شاروخان مث هيك فيلم,info_news,-1
عسيرة اللقاحات بوثق باللقاح الايراني أكتر لقاح تاني,info_news,1
جرعة لقاح أسترا زينيكا مطار هواري بومدين الجزائر,info_news,1
وزارة الصحة تعتمد لقاحي أسترازينيكا وموديرنا لقاح فايزر العربية ,info_news,1
امرأة أجنبية تتحدث تجربتها لقاح كورونا السعودية ومدى انبهارها بالتنظيم ,personal,1
سمو الأمير عبدالعزيز بن تركي الفيصل يتلقى الجرعة الأولى لقاح,celebrity,1
شخصا يتلقون لقاح خلال الـ ساعة الماضية وام  ,info_news,1
مخاطر تأخير الجرعة الثانية لقاح كورونا,info_news,1
فارس سعيد هوي وعمياخد لقاح كورونا ,celebrity,1
ننشر صور لشحنة لقاح فور وصولها الدولى ,info_news,1
المرض مستشري فئات المجتمع العراقي ولحد الان محد لگاله علاج لقاح,unrelated,0
لقاح ايه اللي معمول الصين مش متلقحين,rumors,0
باحث اسرائيلي يقول تريد لقاح طبع اولا,info_news,0
فرنسا تبدأ تطعيم تزيد أعمارهم عاما ضد,plan,1
رغم الجدل المثار حوله الإمارات ترخص استخدام لقاح سبوتنيك الروسي ,info_news,1
فيروس كورونا الاتحاد الأوروبي يوافق استخدام لقاح أسترازينيكا لمن عاما,info_news,1
تقديم جرعة لقاح كوفيد خلال الـ ساعة الماضية الإمارات البيان,plan,1
وزارة الدفاع ارتفاع عدد جرعات لقاح كورونا وزعت الى مليون جرعة,info_news,1
علينا وين رح يخزنوا لقاح فايزر كمان بالمدينة الرياضية هون ليتفقوا المناصفة بالتوزيع,others,0
حدا هالمليارديرية اللبنانيين حابب يتبرع للفقراء بمدينته بشي مليون لقاح,personal,1
بالإمكان حاليا لقاح كورونا الحاجة لتصوير الواقعة,info_news,1
وصول دفعة لقاح أسترازينيكا البريطاني مطار هواري بومدين الدولي ,info_news,1
الإمارات تقديم مليوني جرعة لقاح كورونا,plan,1
الحرمين الشريفين حفظه الله يتلقى الجرعة الأولى لقاح كورونا ,celebrity,1
مصادر لقاح أثبتت نجاحها أمريكا ويمكن استيراده ,info_news,1
موقف محرج سببه خبر وصورة وكالة فارس لمطور لقاح منعه,info_news,0
لقاح ايراني كوبي مشترك يعد لقاح مضاد لفيروس تتابع الجمهورية الاسلامية مراحل انتاجه بكل جدية,info_news,1
تأكيدا لانفراد الصحة تعلن توزيع لقاح,info_news,1
لقاح يبعد الناس الزبالة يقربو حياتنا,unrelated,0
عاجل  حفظه الله يتلقى الجرعة الأولى لقاح  ,celebrity,1
ان اخذت المطعوم جعلك الا تموت  ارسل اللقاح كني ارسل فراغ  اكلمك بالمطعوم وتقول مطعوم,unrelated,0
تعلن إجراء اختبارات لدراسة فاعلية لقاح مضاد لـ,plan,1
تلقى الملك محمد السادس الجرعة الأولى اللقاح المضاد لكوفيد ,celebrity,1
وصول الدفعة الثانية لقاح فايزر بيونتيك الم لفيروس كورونا السلطنة وتتضمن جرعة,info_news,1
لقاح بهارات الهندي يثبت فاعليته ضد السلالة البريطانية فايروس كورونا,info_news,1
الفريق المتقاعد الطبيب داود حنانيا يتلقى لقاح تزامنا بدء الحملة الوطنية للتطعيم ضد فيروس,info_news,1
حديث سيدي صاحب السمو الملكي  الأمير مقرن بن عبدالعزيز لقناة لـ  الإخبارية تلقيه لقاح,info_news,1
الحكومة الألمانية تهدد بإتخاذ إجراءات قانونية ضد الشركات المتأخرة تسلم لقاح,info_news,1
ولمذا تصنع لقاح حلال يكون المشكل,personal,0
الدولة ملأت بلادنا باليورانيوم نريد لقاحا ,info_news,1
وزير التعليم يتلقى الجرعة الأولى  لقاح,celebrity,1
هلق المحمودات اكثر الجورجيت بكرا محمود بياخدوا لقاح وحنركب بالدور كلنا عالحنطور,personal,1
ترجع الحياة الى طبيعتها بعدما اوقف الفايروس شي,requests,1
مافي شي لقاح يعطوه للعونية يصير عندن دماغ يفكروا يحكوا ,unrelated,0
رئيس الحكومة التونسية لقاح سيتاح للجميع,info_news,1
العيادات الطبية الاهلية البصرة تبيع لقاح كورونا وخمسة الاف لحارس العيادة  بلاش,info_news,0
شاهد   وزير الصحة يتلقى الجرعة الثانية لقاح,celebrity,1
حظر خامنئي اللقاحات الغربية بصدد إجازة تجربة لقاح كوبي الإيرانيين ,info_news,1
بحمد الله وفضلة اليوم تلقيت جرعة لقاح كورونا وباقي الجرعة الثانية,personal,1
الشروع اتصالات لتصنيع لقاح سبوتنيكفي الجزائر ,info_news,1
قناة  الأمريكية   دقيقة يموت شخصين بـ  ويصاب بالفايروس   اين الارقام  ,unrelated,0
تعلن وصول أولى شحنات لقاح أسترازينيكا الأحد ,info_news,1
محذرة فشل أخلاقى توزيع مليون جرعة لقاح بـ دولة غنية ,info_news,1
ريت الرئيس الحريري بجيب شي لقاح جنون البقر للعونية بركي بصيرو بشر شي لقاح للشعبوية للقوات  ,personal,1
 الصحة تطلق الموقع الالكتروني للحصول علي لقاح فيروس كورونا  يدخل يسجل,info_news,1
استقالة رئيس أركان الجيش الإسباني لتجاوز دوره الحصول لقاح كوفيد,info_news,0
خادم الحرمين الشريفين الملك سلمان بن عبد العزيز يتلقى الجرعة الأولى,celebrity,1
بحرص ومتابعة القيادة تتسارع مراحل توزيع لقاح فيروس كورونا مناطق المملكة,info_news,1
افتتاح مركز جديد لإعطاء لقاح كوفيد عجمان  ,info_news,1
محتاجين لقاح يقلل ال  الي بيجي النوم ده,unrelated,0
مراكز السيطرة الأمراض والوقاية ردود الفعل التحسسية الشديدة نادرة الحدوث,info_news,1
إغلاق مابنغلقش مصل مابنجيبش لقاح مابنلقحش تحاليل مابنعملش بطولات مابنأجلش والفاتحة مش حافظينها,others,0
خبراء منظمة الصحة المهلة جرعتي لقاح موديرنا يمكن تصل أسابيع,advice,1
فيديو سمو أمير منطقة  الأمير بن عبدالعزيز  يتلقى الجرعة الأولى لقاح,celebrity,1
خادم الح رم يأخذ رعة  وطن تحص يون مليك  ,celebrity,1
لقاح سعودي ضد فيروس كورونا تتوصل جامعة الإمام عبدالرحمن بن فيصل   ,info_news,1
  رئيس وزراء بريطانيا بوريس جونسون يعلن بدء تقديم لقاح طريق الصيدليات,plan,1
المجلس الصحي السعودي   دليل علمي وجود ضرر لقاح مرضى السرطان,info_news,1
مراسل عمار الهندي داخل مركز لتطعيم لقاح رصد خلال مواكبته انطلاق الحملة,info_news,0
الخائن يؤتمن فكيف اذا كانت امريكا الخائن والقاتل ,unrelated,0
الأردن دولة تبدأ حملة تطعيم للاجئين ضد فيروس كورونا,info_news,1
نستهدف تطعيم مليون أمريكي يوم ولايتي ,info_news,1
اتحاد الكرة يطلب وزارة الرياضة بإدراج الفريق جداول لقاح كورونا  ,info_news,1
الوضع يحتاج تسريع التطعيم عدد السكان قليل قطر وبالامكان تطعيم كامل الشعب شهور قليلة,requests,1
الإمارات الثانية عالميا بتقديم لقاح بتقديم مليون جرعة لقاح  ,info_news,1
تجربة آدم سيمنسكي الحصول لقاح كورونا وتعامل المملكة المميز جائحة كورونا,celebrity,1
صرنا جمعية خيرية المهم ياوزارة الصحة اذا خلصتوا تطعيم اللبنانيين عطونا خبر,others,0
الوزير الأول عبد العزيز جراد يتلقى جرعة لقاح سبوتنيكبالعيادة متعددة الخدمات الينابيع بالعاصمة,celebrity,1
الملك سلمان يتلقى لقاح كورونا   الله يخليك ويطول بعمرك  وجعله عافية  ,celebrity,1
تلقت الجرعة الأولى أسابيع المواطنة شيخة الحربي تتلقى قليل الجرعة الثانية لقاح,info_news,1
بايدن سنوزع مليون جرعة لقاح مضاد لكورونا خلال يوم إدارتي,info_news,1
الأحد بدء إعطاء الجرعة الثانية لقاح للفئات المستهدفة,info_news,1
 مصر تعلن وصول أولى دفعات لقاح أوكسفورد أسترازينيكا المضاد لفيروس كورونا الأحد,info_news,1
عبداللطيف الخال شخص حصلوا لقاح فايزر وبيونتيك المضاد لفيروس كورونا دولة قطر ,info_news,1
اطباء أنحاء العالم يحذرون لقاح وهم كورونا,info_news,-1
بأي وسيلة الأوغاد يريدون قتلك لقاح بحقن بخاخ عبر الأنف تصل فاعليته,personal,-1
فارس كرم يهاجم يجري لقاح كورونا ويتباهى عبر السوشيال ميديا ,info_news,-1
خادم الحرمين يتلقى الجرعة الأولى لقاح كورونا,celebrity,1
