id,text,stance,predictions
21,سبعة عروض مختلفة للقاحات مزعومة لقاح_كورونا كوفيد_,0,neutral
22,خلال سنة لم يفر ق الوباء بين الناس لا من ناحية الجغرافيا ولا العرق ولا الجنسية ولذلك من حق الجميع الحصول على لقاح اللقاح_حق_للكل,0,neutral
23,البابا فرنسيس يحدد موعد تلقيه لقاح كورونا سكاي_أخبار,0,neutral
24,اخواني وخواتي في إمارة عجمان والمدن القريبة نحن في انتظاركم في مركز لقاح كورونا في كلية فاطمة للعلوم الصحية في عجمان منطقة الرقايب خلف البيت متوحد مرحبا بكم ولا تشلون هم نحن هنا لخدمتكم ساعات العمل من إلى المساء وممكن انمدد اءا كان الإقبال كبير,1,positive
25,دراسة طبية لقاح فايزر فعال ضد السلالة المتحورة من فيروس كورونا التي ظهرت في بريطانيا وجنوب افريقيا الإمارات_اليوم,0,neutral
26,ما في لقاح بيمنع الاصابة مية بالمية ولكن اذا انصاب الانسان بعد اللقاح بتكون الاصابة اخف بالاضافة انو ممكن اللقاح نفسه يعمل عوارض خفيفة للمرض على حسب مناعة جسم الانسان فيلي صار طبيعي يصير,-1,negative
27,متحدث التعليم المعلمين والمعلمات لهم أولوية بالحصول على لقاح كورونا,0,neutral
28,مستشار خادم الحرمين الشريفين الأمير عبدالإله بن عبـدالعـزيز يتلقى لقاح كورونا اخبار السعودية,0,neutral
29,الملك والأمير الحسن وولي العهد يتلقون لقاح كورونا وكالة عمون الاخبارية,0,neutral
30,تونس مبادرات للمشاركة بتمويل لقاح_كورونا ودعوات لاقتصار مجانيته على الفقراء,1,positive
31,رقم قياسي جديد تم تطعيم ألف مواطن خلال ال ساعة الأخيرة مما يشكل رقما قياسيا جديدا في إسرائيل كما تم حتى اللحظة تطعيم أكثر من مليون إسرائيلي حيث ألف منهم قد تلقوا الجرعة الثانية من اللقاح,1,positive
32,شكرا عامر الرجوب نعم الاعلام رسالة بس صار مع كورونا تطعيم المهم توصل للناس الفكرة والله يحميك ويحمي الشعب الاردني بس_بقول,1,positive
33,أخصائي الأطفال والأمراض المعدية والأحياء الدقيقة الطبية الدكتور محمد الغنيم يتطلب لقاح اكسفورد جرعتين تفصل بينهما مدة لا تقل عن أربع أسابيع فيروس_كورونا إسأل_الصحة وزارة_الصحة,0,neutral
34,إصابة شخصا بشلل فى الوجه بعد تلقيهم لقاح كورونا بإسرائيل بعد وفاه فى النرويج بعد تلقى نفس العقار ومش عارف مصر راحت تتعاقد على ايه,-1,negative
35,هذا الطفل هو باقر ابن مجتبى خامنئي مجتبى خامنئي و زوجتة بنت حداد عادل مستشار خامنئي مجتبى خامنئي عقيم و لايسطيع الانجاب مما توسلوا الى البريطانيين و دفع مليون بوند من مؤسسة المستضعفين للقاح الصناعي في لندن فلماذا خامنئي يحظر لقاح بريطانيا,-1,negative
36,وزير الصحة يؤكد على مأمونية لقاح أسترازينكيا الذي حصلت عليه السلطنه من الهند ويعرف بطرق استخدامه ويوضح حول انتشار السلالة الجديدة من كورونا ومعاليه يذكر لبست الكمامة سلاحنا الوحيد,1,positive
37,الشرق_عاجل رئيسة المفوضية الأوروبية تتوقع أن تقدم شركة أسترازينيكا مليون جرعة لقاح كما هو متفق عليه عاجل,0,neutral
38,معالي وزير الصحة د توفيق الربيعة خلال زيارته مركز لقاح كورونا في المدينة_المنورة واطلاعه على الخدمات المقدمة بالمركز ويأتي ذلك ضمن زيارة معاليه لتدشين عددا من المشاريع الصحية بالمنطقة,1,positive
39,إيران تجيز استخدام اللقاح الروسي سبوتنيك في,0,neutral
40,وزير الصحة القانون يجيز للحكومة تطعيم المواطنين اجباريا يا_غنماتي_ماع_ماع,-1,negative
41,أ ابتسام_الشهري متحدث وزارة_التعليم هناك أولوية لمنسوبي التعليم في أخذ لقاح كورونا برنامج_ياهلا روتانا_خليجية,0,neutral
42,في دبان طالع كل مهمته الدفاع عن لقاح كورونا ومهاجمة اي حد بشكك بفعاليته ول عليكم ما ازنخكم ما بدي اقتنع انا حرة أخو مراقي شي,-1,negative
43,لقاح فايزر الامريكي قطر شريكه في هذا المصنع وتم توفير اللقاح الحالي لقاح موديرنا الامريكي ايضا قطر شريكه في المصنع وسوف يتوفر قريبا في قطر حسب ماوصلني ان لقاح موديرنا اثبت فعاليه اكبر من لقاح فايزر,1,positive
44,اليوم بحمد الله اخذت تطعيم_كورونا بطريقة سلسلة وجميلة من دخولي الى انتهاء التطعيم لم يستغرق الأمر أكثر من عشر دقائق بالإضافة الى دقيقة انتظار بعد التطعيم للتأكد من عدم ظهور أعراض حساسية جميع من يعمل في مركز التطعيم يحرجك بذوقه ولطفه واحترافيته ما رح اغثكم بصورة الفنيلة,1,positive
45,معالي الدكتور أحمد بن محمد السعيدي وزير الصحة يتلقى الجرعة الثانية من لقاح كوفيد بمجمع بوشر التخصصي,0,neutral
46,لغاية الان ظهر اكثر من لقاح لفيروس كورونا لذلك اتوقع وباذن الله تعالى ان اكثر لقاح سيكون عليه الطلب على مستوى العالم هو اللقاح الايراني لانه فعال وآمن في نفس الوقت,1,positive
47,الجواز الصحي في السعودية يهدف إلى التأكيد بأن الشخص قد أكمل جميع الجرعات الخاصة بلقاح فيروس كورونا وأصبح محص نا العربية,0,neutral
48,ياجماعة الخير كل واحد يتكلم بإختصاصه لقاح جاء من دول الغرب ما صنعته و لا شاركت في تصنيعه و أتى في مدة قصيرة ولم يستوفي وقته من التجارب والملاحظات التي من المفترض أن تستمر سنوات حتى تتم الموافقة عليه أو رفضه تطلع يا خطيب الجمعة تزكيه و تمدحه خلاص الموضوع اختياري مهوب طلابه وشكرا,1,positive
49,إسرائيل تقدم جرعة تطعيم ضد كورونا كدفعة أولى من أصل للطواقم الطبية في السلطة الفلسطينية يبقى السؤال أين تذهب المساعدات المالية التي تقدم للشعب الفلسطيني لمواجهة هذا الوباء,-1,negative
50,اليوم اسرائيل ارسلت لفلسطين لقاح ضد فيروس كورونا وقبلوها اخوانا الفلسطينيين ويشتونا نحاربهم,-1,negative
51,توصل المغرب اليوم الجمعة يناير بأولى دفعات اللقاح البريطاني أسترا زينيكا الهندي الصنع من جمهورية الهند وسيتوصل بالدفعة الأولى من لقاح سينوفارم يوم الأربعاء يناير من جمهورية الصين الشعبية بلاغ من وزارة الصحة,0,neutral
52,فيه واحد فقدناه من الظهور الإعلامي عسى ما شر احد شافه احد يدري عنه احد منعه ولا مات ولا عاكف على لقاح جديد لكرونا وبيطلع طلعه سمحه إنشاءالله جديده اتوقع يطلع في البيت الابيض مع بايدن لا استغرب عرفتموه ولا نطلب صورته من ميدان الهجن,-1,negative
53,وزارة الصحة لقاح استرازينيكا في الكويت الأسبوع الجاري ويمنح على جرعتين بينهما من إلى أسبوعا,0,neutral
54,انا لو صاحب القرار هطعم الدكاترة الأول وبعدهم أطعم شرم والغردقة واقفل عليهم وافتح السياحة عليهم من برة واي إيرادات اصرفها ع تطعيم الباقي,1,positive
55,تحذير جديد للراغبين في تلقي لقاح سبوتنيك ـ,0,neutral
56,المفتي التطعيم بـ لقاح_كورونا واجب إذا أفاد المتخصصون بفاعليته كورونا,1,positive
57,الحمدلله على نعمة السعودية تلقيت الجرعة الأولى من لقاح كورونا المستجد تنظيم رائع بخبرات سعودية نفخر ونعتز بها شكر ا قيادتنا العظيمة شكر ا وزارة الصحة,1,positive
58,العقوبات تحرم دول مثل كوبا و ايران من انتاج لقاح_آمن في الوقت المناسب,-1,negative
59,معقوله للحين ماحصلوا لقاح الكورونا اهم نفسهم يعد توفير لقاح مافي امل اخذ لقاح مينون انا يصيدني شي بعدين تشيكين فيليه,-1,negative
60,تم تأسيس جمعية الرفق بالعونية تحت رقم ط ز ع ن نشاط الجمعية العناية بالكلاب الداشرة تطعيم الكلاب المتكلبنة تلقيح الكلاب المسعورة الاعتناء بالحيوانات وجعلها اليفة الاهتمام بتربية الحيوانات الضآله وإعادتها للحضائر تعقد الجمعية اجتماعها الاول غدا الساعة,0,neutral
61,والدنا وقائدنا وقدوتنا الله يحفظك ويرعاك الملك_يتلقى_لقاح_كورونا,1,positive
62,وزير الصحة اقترحنا أن يكون لأصحاب الباتيسري الأولوية في تلقي لقاح كورونا,0,neutral
63,أخذت قبل أسابيع الجرعة الأولى من لقاح فايزر لم تظهر علي أعراضه والأهم لم تظهر علي الأعراض الشعبية لم أتحول لضفدع ولم أنبح قيل حينها هذه الأعراض تظهر بعد الجرعة الثانية التي تلقيتها بالأمس لم تظهر الأعراض بعد المضحك أن الفيك نيوز يلقى صدى وأن هناك من ينتظر نباحك للإثبات,0,neutral
64,ايران ايران تقول انها منعت استيراد لقاح كورونـاا من امريكا وأوربا لأنها تمتلك جهاز عجيب يكشف عن الفيروس من على بعد متر,0,neutral
65,وصول أولى شحنات لقاح كورونا اليوم لمطار بوفاريك,0,neutral
66,سكان الإمارات يتفاعلون مع وسم يدا_بيد_نتعافى على مختلف منصات وسائل التواصل الاجتماعي بما يعكس الوعي المجتمعي بأهمية أخذ لقاح كورونا والانتصار عليه عن طريق تحصين المجتمع عينك_على_العالم,1,positive
67,عاجل وزير المالية السعودي يقول نتفاوض مع العديد من الشركات لتوفير لقاح كورونا لليمن والدول الفقيرة عز الله يعزك يالـسعودية العظمى يامملكة الانسانية السعودية_العظمى اليمن الرياض_لان,1,positive
68,أنا لبنانية مقيمة في الولايات المتحدة وتلقيت لقاح كوفيد من يومين من ضمن الـ ممن تلقوا اللقاح وقبل من الأميركيين متأكد أنك طبيب يا ناجي بأفضل تقدير أنت بوق عنصري وشخص ساقط إنسانيا اذا في شي حبة دوا للكره وصفها لحالك وارتاح,1,positive
69,لكل من شكك بكفاءة تطعيم فايزر اعرض لكم حالتي هذه انتهيت من التطعيم بالجرعة الثانية منذ حوالي ايام و شاء القدر ان تصاب زوجتي بفايروس منذ اسبوع,-1,negative
70,الكلام المشبوه والافتراء للرئيس سعد الحريري الذي سافر من يومين لتأمين مليون لقاح لدرع الوطن الجيش اللبناني هل انتم تتوهمون وما زلتم تفكرون بالقصص التي يفكر به الحكيم عندما كان في زنزانته فأنت مخطىء ولست محلل ممكن يكون عاداك عون على حبوب موتوا بغيظكم,-1,negative
71,تركيا ترسل ألف لقاح كورونا إلى شمال_قبرص مسك,0,neutral
72,أية مهزلة هذه لماذا التلقيح إذا حذر نائب كبير المسؤولين الطبيين في إنجلترا من أن الأشخاص الذين تلقوا لقاح لا يزال بإمكانهم نقل الفيروس للآخرين ويجب عليهم الاستمرار في اتباع قواعد الإغلاق,-1,negative
73,خرجت للتو من اخذ الجرعة الاولى من لقاح كوفيد_ في مقر معرض_الظهران_الدولية اكسبو قرار حكيم من الدولة تنظيم نموذجي رائع من القائمين استقبال وخلق كل العاملين والفنيين فالف تحية لهم ادعو كل من تنطبق عليهم إشتراطات اخذ اللقاح ان يبادروا بالتسجيل وعدم التهاون شكرا وزارة_الصحة,1,positive
74,تويتر يغلق حساب خامنئي بالانجليزي بسبب تغريدة تحوي معلومات كاذبة عن لقاح كورونا,-1,negative
75,إندونيسيا تخالف العالم لقاح كورونا للصغار أولا,-1,negative
76,فقط في لبنان ينتقدون من يجول العالم لتأمين ل قاح كورونا و ي هل لون ل م ن غد ر ه الن عاس سار حا في نوم عميق ولكن لا عج ب في الأمر فلقد هل لوا له سابقا يوم الهروب,-1,negative
77,تلقيت اليوم الجرعة الثانية من لقاح كوفيد والحمد لله نشكر قيادتنا الرشيدة على الرعاية الكريمة التي توليها للإنسان وصحة وسعادة المجتمع فلنتكاتف جميعا من أجل أخذ التطعيم,1,positive
78,ناطرين اللقاح لو انكن تلقحتوا ببيوتكم ما وصلنا لهون اللقاح للي لازم تاخدوا هو لقاح ضد الجهل والغبا والاستهتار خلصت_الحكاية,-1,negative
79,تركي بن هذلول يتلقى الجرعة الأولى من لقاح كورونا,0,neutral
80,تلقي والدي مرعي بن محفوظ الجرعة الأولى من لقاح_كورونا ولله الحمد كل الشكر لولاة الأمر حفظهم الله منذ بدء الجائحة وحتى توفير اللقاح وعلى حرصهم واهتماهم بسلامة المواطن والمقيم والشكر لـ وزارة_الصحة على التنظيم والاحترافية في الاجراءات وعلى الكوادر الوطنية الرائعة,1,positive
81,عندما كان اللقاح متوفر ا بكميات وقبل كثير من دول العالم لم يتقدم كثيرين وفضلوا التنظير في مواقع التواصل عن سلبياته وتداعياته فهب الاجانب ونالوا اللقاح وصاحبنا مازال ينظر بفرضية المؤامرة أما اليوم فهو يتباكى على اطلال نظرياته ويتمنى لقاح احيان ا بعضنا يدبل الكبد,-1,negative
82,الصحة المصرية خلال أيام سيتم تسجيل لقاح صيني وروسي وبريطاني,0,neutral
83,تلقى خادم_الحرمين_الشريفين لقاح كورونا حرص ا منه سلمه الله على الوقاية من هذا الفيروس وهذه المبادرة هي تأكيد على أن سياسة المملكة تكمن في الوقاية دائما قبل العلاج وزير_الصحة الدكتور توفيق الربيعة التواصل_الحكومي,1,positive
84,البروفيسور الياس رحال وصول أولى جرعات لقاح_كورونا قبل نهاية جانفي الجاري,1,positive
85,لقاح فايزر بدو درجة حرارة قالب جبنة حلوم اذا بتحطو يومين بالبراد بحمض ع قلة الكهربا ع_باس,-1,negative
86,إدارة الغذاء والدواء الأميركية الحكومية تقول إن لقاح_كورونا مسموح في حالات الطوارئ فقط وغير معتمد لا یوجد لقاح معتمد رابط من موقعها بالعربي أنت حر بأخذ اللقاح أو لا لكن إن أخبرك الطبيب بأن اللقاح معتمد فهو يكذب انشر الرابط لمن تعرف,0,neutral
87,الحكومة التركيه الارهابية تأخذ الشعب التركي كفئران تجارب حيث إنها تتفق مع الصين بتجارب لقاح كورونا علي الشعب التركي مقابل أخذ اللقاح مجانا,-1,negative
88,سمو الأمير مقرن_بن_عبدالعزيز حفظه الله ورعاه يتلقى الجرعة الاولى من لقاح فيروس كورونا ومعالي وزير الصحة الدكتور توفيق الربيعة يستقبله في منطقة المعارض بمدينة الرياض,1,positive
89,الشحنة الأولى من لقاح هي جرعة بـ مليار دج ما يعني دج للجرعة ملايين سنتيم للعلم أن قيمة لقاح هو أي أقل من دج للجرعة أعتقد أن هناك شيئ غير طبيعي في الأرقام التي قدمها فورار المهم بصحتكم,1,positive
90,وينو الفنان يلي غنى ليلة راس السنة وراح اخد لقاح برا وينو اللبناني الجغل السهير يلي راسو ما بيحملو وينو اللبناني الحربوق يلي بقلك فش كورونا هيدي مؤامرة الله لا يسامح كل حدا وصلنا لهون رجل الله في الميدان جمعية_الرسالة_للإسعاف_الصحي,0,neutral
91,أطر طبية بمدينة سلا تتلقى أولى جرعات لقاح فيروس كورونا كوفيد_ لقاح_كورونا سلا كورونا كورونا_المغرب المغرب,1,positive
92,دراسة بريطانية تثبت أن لقاح أسترازينيكا المضاد لفيروس كورونا يوفر حماية بنسبة بعد يوما من الجرعة الأولى وتوصي بتلقي الجرعة الثانية منه بعد أشهر من الأولى العربية,1,positive
93,قمة الوقاحة إنو يجو يتهموك انك عنصري كيف ما بدك تلقح الفلسطنيين واللاجئين السوريين من أموال الخزينة مال الإحتياط دفعنا فيه ثمن لقاح كورونا بس سؤال ليش ما بلقحو اللاجئين أو يدفعوا على الاقل ثمن لقاحاتهم ما بكفي إنو اللاجئين عم يستفيدو من الدعم وعم بيقبضوا مساعدات بالدولار,-1,negative
94,امريكا سبب دمار الشعوب كيف نأمن لها نريد_لقاح_آمن,-1,negative
95,صور تطعيم الرئيس أردوغان بلقاح كورونا,0,neutral
96,لو رفيق الحريري بعده بيناتنا ما كنا عشنا هي الكارثة الاقتصادية او الصحية و ما كنا اضطرينا نبرم على ولا دولة نجيب لقاح لأن كان رح يوصل اللقاح بنفس الوقت يلي بيوصل على الامارات و المملكة العربية السعودية,-1,negative
97,طلعت مصطفى تتحمل تكاليف لقاح كورونا لـ مليون مواطن,0,neutral
98,أخذت اليوم في العاصمه الحبيبه الرياض على تطعيم كوڤيد تنظيم رائع جدا ومهنية عالية يعحز اللسان عن شكر ولاة أمرنا وحكومتنا الرشيده ممثلة في منسوبي وزارة الصحة على كل ماي ق دم للمواطن والمقيم,1,positive
99,امريكا الشيطان الكبر نريد_لقاح_آمن,-1,negative
100,الحمد لله تم أخذ الجرعة الأولى من لقاح كوفيد جهود مميزه وتنظيم رائع وكوادر تستقبلك بالابتسامه والترحيب شكرا للجميع ادام الله عزك يابلادي,1,positive
101,انا ما يرفع ضغطي الا اللي يدخل البقاله او المسجد بدون كمامه ومسوي نفسه لقاح فايزر و يصف جنبك هالنوعيه ما تخاف ع نفسها بكيفها ولكن الاخرين ما لهم شغل فيك يا قوي اتمنى والله تتضاعف غرامتها,-1,negative
102,رغم تلقيه جرعتي لقاح فايزر نائب في الكونغرس الأمريكي يصاب بكورونا,-1,negative
103,مليونين لقاح رح يستفيد منن لبنان تقدمة من منظمة كوفاكس لأن اعتبرونا من البلدان الأكثر فقرا انا كنت عارف انو جبلنا عندو ب عد نظر وعم يشتغل كرمال نصير فقراء كرمال شي سبب طلعلنا لقاحات ببلاش منحبك مون جنيرال,1,positive
104,مهم ببساطه كيف يعمل لقاح كوفيد,0,neutral
105,لقاح كورونا سيكون إختياري و ليس إجباري في لبنان إنتو رح تاخدوه,0,neutral
106,الشرق_عاجل بروكسل تجيز استخدام لقاح أسترازينيكا ليكون الثالث في الاتحاد الأوروبي عاجل,1,positive
107,باكستان تتلقى مليون جرعة كدفعة أولى من لقاح كورونا سينوفارم الصيني بحلول الأسبوع الأول من فبراير وزير الصحة للأناضول,0,neutral
108,الأمير عبدالإله بن عبدالعزيز مستشار خادم الحرمين الشريفين يتلقى لقاح كورونا بمركز اللقاحات في الرياض مساء اليوم,0,neutral
109,فاوتشي يرجح الموافقة على لقاح جونسون آند جونسون خلال أسبوعين العربية,0,neutral
110,شاهد أمير مكة يتلقى الجرعة الثانية من لقاح_كورونا,0,neutral
111,قرات اليوم تصريح لاحد المراكز الصحية ان عدد من يتلقون اللقاح يوميا حوالي شخص اذا افترضنا كل المراكز بنفس المعدل فالعدد حوالي وفي احسن الاحوال باليوم واذا استمرينا بهذا المعدل لن ننتهي من تطعيم الجميع الا بعد سنتين او اكثر توقعاتي ان الاخوة سيزيدون هذا المعدل,1,positive
112,نبي لقاح ضد التفكير الزايد,-1,negative
113,الصحة العالمية عودة أميركا للمنظمة سيساهم بإطلاق آلية كوفاكس لتوزيع اللقاحات العربية,0,neutral
114,جرعة جديدة من لقاح فايزر تصل السلطنة وستستخدم هذه الدفعة من اللقاحات في استكمال تغطية نفس الفئات المستهدفة في المرحلة الأولى من حملة التحصين ضد كوفيد عمان_تواجه_كورونا,-1,negative
115,الفلسطينيين يستلمون الدفعة الأولى من لقاح كورونا من إسرائيل وسبق ذلك علاج القادة الفلسطينيين في المستشفيات الإسرائيلية علما ان ولادات كثير من الفلسطينيين في مستشفيات الصهاينة,-1,negative
116,رد بيل غيتس أحد مؤسسي شركة مايكروسوفت العالمية على اتهامه بالضلوع في ظهور كوفيد مشيرا إلى أن وقف تفشي الوباء يقتضي تطعيم إلى من سكان العالم وقال في مقابلة مع صحيفة سودديتش زيتونغ الألمانية إنه استثمر في تطوير اللقاح مليار دولار لمواجهة الوباء في العالم,-1,negative
117,وكالة أنباء البحرين البحرين تقر لقاح أوكسفورد أسترا زينيكا المضاد لكورونا للاستخدام الطارئ,0,neutral
118,منع الكيان الاسرائيلي ادخال لقاح كورونا على غزة ومناطق فلسطينية تانية هيدا الابتزاز لو بشي بلد تاني كانت صارت قضية راي عام و شباب الانسانية وال ما كان سكتوا,-1,negative
119,فرنسا تقصر استخدام لقاح أسترازينيكا على من هم دون الـ عاما العربية_عاجل,-1,negative
120,القانون ينص على أن التطعيمات ضد الأوبئة بالمجان المحامي الحقوقي خالد علي يرفع دعوى قضائية ضد السيسي ومدبولي وهالة زايد بصفتهم الاعتبارية يطالب فيها بإلزام وزارة الصحة بتوفير لقاح كورونا مجانا لجميع المواطنيين,-1,negative
121,ألمانيا تحظر لقاح أسترازينكا على الأشخاص فوق عاما,-1,negative
122,لقاح كورونا حول العالم بنسبة لـ شخص العراق شكرا,0,neutral
123,كوفيد إسرائيل منظمات حقوقية تقاضي وزير الأمن لرفضه تطعيم الأسرى الفلسطينيين,-1,negative
124,العراق اليوم كنت في محكمة جنايات الكرخ رأيت وزير الكهرباء السابق قاسم الفهداوي عليه دعوى جنائية ويطلب من القاضي تأجيل المرافعة لسبب لديه سفرة آلى دبي لتلقيه الجرعة الثانية من لقاح كورونا الشعب يقتل يوميا وسياسيه الفاسدين يتعالجون في الخارج أين لقاحكم للشعب,-1,negative
125,قررت الحكومة السورية مل تستورد لقاح الكوفيد لشو بيهر بوه من لبنان أوفر التهريب_المدعوم التهريب_الملغوم,-1,negative
126,نبات واحد ناتج عن تطعيم نبات البندورة على اصل من نبات البطاطا,0,neutral
127,الإمارات تعتزم تطعيم نصف سكانها في أشهر,1,positive
128,وزير الصحة البريطانية نسعى للوصول إلى ألف تطعيم في اليوم,1,positive
129,طبيب معروف فميامي نتاع التوليد مات بجلطة دماغية مور ما مرض ب مرض مرتبط بالبمانعة الداتية دمر لي دمر ليه صفائح الدم و هادشي مباشرة مور ما خدا لقاح فايزر حاليا دايرين تحقيق فالقضية و غالبا غاتطمس,-1,negative
130,رئيس هيئة الأركان العامة يتلقى الجرعة الثانية من لقاح كورونا كوفيد نعود_بحذر,-1,negative
131,فلا بد أن يعلم الجميع أن عذاب ما يسم ونه فايروس كورونا هو من العذاب الأدنى دون العذاب الأكبر لعل هم يتضر عون إلى رب هم ليكشف عنهم عذابه برحمته ليت بعوا داعي الحق من رب هم ويسل موا تسليما الإمام ناصر محمد اليماني رمضان هـ م لقاح_كورونا,1,positive
132,الحمد لله تم أخذ الجرعة الأولى من تطعيم_كورونا خدمة راقية جدا من منسوبي وزارة الصحة شكرا معالي الوزير الرائع على هذا التنظيم المميز شكرا لقادتنا و ولاة أمرنا على هذا الدعم الغير محدود و دام عزك يا أغلى وطن,1,positive
133,كورونا الاتحاد الأوروبي يصادق على استخدام لقاح موديرنا العربية_عاجل,0,neutral
134,إذا تغزلت في المملكه وش عساك تقول في كل مجال بلادي من علو في علو اليوم تلقيت الجرعة الأولى من لقاح_كوفيد_ ع ن أيش أحكي بس التنظيم أو سلاسة الاستقبال أو ع ن توفر اللقاح شكرا بلادي شكرا_وزاره_الصحه,1,positive
135,فيروس لا ي رى بالعين المجر دة الحياة على الأرض أصبحت ليست كما قبله دول عظمى تتنافس لتسويق اللقاحات تراجعت أهمية الإستثمار في النفط و أصبح لقاح_الكورونا هو الإستثمار الم ف ض ل في ظل حصاد سريع لأرواح البشر إن ها الحرب _العالمية_الثالثة الغير معلنة إلى أجل غير مسم ى,-1,negative
136,جو_بايدن سنوزع مليون جرعة تطعيم لكورونا في أول يوم من إدارتي وسنقدم خطة للتعافي وعودة الطلاب للمدارس ومساعدة العائلات الأميركية العربية,1,positive
137,هل مستعدون لتلقي أولى جرعات لقاح فيروس كورونا كوفيد_ لقاح_كورونا فيروس كورونا كورونا_المغرب المغرب,0,neutral
138,سيدي خادم_الحرمين_الشريفين حفظه الله يتلقى الجرعة الأولى من لقاح كورونا كوفيد,1,positive
