text,category,stance,sentiment,words,errors,errors_count,sentence_length
تلقى الرئيس الجرعة الأولى لقاح مضاد لفيروس كورونا المستجد,info_news,1,positive,"['تلقى', 'الرئيس', 'الجرعة', 'الأولى', 'لقاح', 'مضاد', 'لفيروس', 'كورونا', 'المستجد']","{'لفيروس', 'كورونا', 'المستجد', 'الأولى', 'لقاح', 'الرئيس', 'مضاد', 'تلقى', 'الجرعة'}",9,57
وأمريكا الأسوار تهدي طفل لعبة للموت عنقودية ,info_news,1,positive,"['وأمريكا', 'الأسوار', 'تهدي', 'طفل', 'لعبة', 'للموت', 'عنقودية']","{'تهدي', 'عنقودية', 'لعبة', 'وأمريكا', 'طفل', 'للموت', 'الأسوار'}",7,44
معالي مدير الأمن العام  الفريق ركن خالد بن قرار الحربي  يتلقى الجرعة الأولى لقاح فيروس كورونا  ,celebrity,1,positive,"['معالي', 'مدير', 'الأمن', 'العام', 'الفريق', 'ركن', 'خالد', 'بن', 'قرار', 'الحربي', 'يتلقى', 'الجرعة', 'الأولى', 'لقاح', 'فيروس', 'كورونا']","{'الحربي', 'كورونا', 'الأولى', 'معالي', 'الفريق', 'لقاح', 'ركن', 'بن', 'مدير', 'يتلقى', 'العام', 'فيروس', 'قرار', 'الجرعة', 'الأمن', 'خالد'}",16,95
وزارة الصحة الاتفاق شركة استر ازينيكا توفير مليوني جرعة لقاح,info_news,1,positive,"['وزارة', 'الصحة', 'الاتفاق', 'شركة', 'استر', 'ازينيكا', 'توفير', 'مليوني', 'جرعة', 'لقاح']","{'مليوني', 'لقاح', 'وزارة', 'الصحة', 'جرعة', 'توفير', 'الاتفاق', 'استر', 'ازينيكا', 'شركة'}",10,60
العلامةعبدالله بن بيه يتلقى لقاح كورونا,celebrity,1,positive,"['العلامةعبدالله', 'بن', 'بيه', 'يتلقى', 'لقاح', 'كورونا']","{'كورونا', 'لقاح', 'بيه', 'بن', 'يتلقى', 'العلامةعبدالله'}",6,39
شاهد يفوتك وليام شكسبير عايش ويتلقى لقاح كورونا,info_news,1,positive,"['شاهد', 'يفوتك', 'وليام', 'شكسبير', 'عايش', 'ويتلقى', 'لقاح', 'كورونا']","{'كورونا', 'وليام', 'لقاح', 'عايش', 'يفوتك', 'ويتلقى', 'شكسبير', 'شاهد'}",8,47
نتائج مطمئنة ردود الفعل التحسسية لقاح موديرنا نادرة  ,info_news,1,positive,"['نتائج', 'مطمئنة', 'ردود', 'الفعل', 'التحسسية', 'لقاح', 'موديرنا', 'نادرة']","{'لقاح', 'نتائج', 'موديرنا', 'التحسسية', 'نادرة', 'الفعل', 'ردود', 'مطمئنة'}",8,53
قيد الإنجاز لقاح تركي يحارب كورونا بـ الجسيمات الشبيهة  ,info_news,1,positive,"['قيد', 'الإنجاز', 'لقاح', 'تركي', 'يحارب', 'كورونا', 'بـ', 'الجسيمات', 'الشبيهة']","{'كورونا', 'تركي', 'لقاح', 'قيد', 'الشبيهة', 'يحارب', 'الجسيمات', 'الإنجاز', 'بـ'}",9,56
خادم الحرمين الشريفين الملك سلمان يتلقى الجرعة الأولى لقاح كورونا,celebrity,1,positive,"['خادم', 'الحرمين', 'الشريفين', 'الملك', 'سلمان', 'يتلقى', 'الجرعة', 'الأولى', 'لقاح', 'كورونا']","{'كورونا', 'الحرمين', 'الأولى', 'لقاح', 'الشريفين', 'سلمان', 'الملك', 'خادم', 'الجرعة', 'يتلقى'}",10,65
أكبر الباكر أعتقد أنه سيتعين المسافرين إبراز شهادة تثبت حصولهم لقاح كوفيد يتسنى الصعود الطائرة   ,info_news,1,positive,"['أكبر', 'الباكر', 'أعتقد', 'أنه', 'سيتعين', 'المسافرين', 'إبراز', 'شهادة', 'تثبت', 'حصولهم', 'لقاح', 'كوفيد', 'يتسنى', 'الصعود', 'الطائرة']","{'الباكر', 'إبراز', 'تثبت', 'الصعود', 'لقاح', 'المسافرين', 'أنه', 'أعتقد', 'أكبر', 'كوفيد', 'سيتعين', 'حصولهم', 'يتسنى', 'الطائرة', 'شهادة'}",15,97
تطعيم شخصا دقيقة ضد وبحلول القادم سيتم تطعيم المواطنين المملكة المتحدة  ,plan,1,positive,"['تطعيم', 'شخصا', 'دقيقة', 'ضد', 'وبحلول', 'القادم', 'سيتم', 'تطعيم', 'المواطنين', 'المملكة', 'المتحدة']","{'وبحلول', 'القادم', 'دقيقة', 'سيتم', 'تطعيم', 'المتحدة', 'شخصا', 'ضد', 'المواطنين', 'المملكة'}",10,72
وعد قليل يفتتح  مليون مركز تلقي لقاح  ال يوم الأولى رئاسته  وعد كبير جدا,info_news,1,positive,"['وعد', 'قليل', 'يفتتح', 'مليون', 'مركز', 'تلقي', 'لقاح', 'ال', 'يوم', 'الأولى', 'رئاسته', 'وعد', 'كبير', 'جدا']","{'يوم', 'الأولى', 'لقاح', 'مليون', 'وعد', 'يفتتح', 'كبير', 'قليل', 'جدا', 'تلقي', 'ال', 'مركز', 'رئاسته'}",13,72
عامل القطاع الصحي تلقوا جرعتهم الأولى لقاح وأنا بدوري انضممت إليهم وتلقيت التطعيم  ,plan,1,positive,"['عامل', 'القطاع', 'الصحي', 'تلقوا', 'جرعتهم', 'الأولى', 'لقاح', 'وأنا', 'بدوري', 'انضممت', 'إليهم', 'وتلقيت', 'التطعيم']","{'الأولى', 'لقاح', 'التطعيم', 'جرعتهم', 'الصحي', 'وأنا', 'بدوري', 'انضممت', 'وتلقيت', 'إليهم', 'القطاع', 'تلقوا', 'عامل'}",13,83
عبيدات مفاوضات لتأمين كمية كبيرة مطعوم سينوفارم الصيني تصل مليوني جرعة خلال أسبوع أسبوعين  ,info_news,1,positive,"['عبيدات', 'مفاوضات', 'لتأمين', 'كمية', 'كبيرة', 'مطعوم', 'سينوفارم', 'الصيني', 'تصل', 'مليوني', 'جرعة', 'خلال', 'أسبوع', 'أسبوعين']","{'سينوفارم', 'مليوني', 'مطعوم', 'لتأمين', 'خلال', 'كمية', 'جرعة', 'كبيرة', 'تصل', 'الصيني', 'أسبوع', 'عبيدات', 'أسبوعين', 'مفاوضات'}",14,91
شاهد ردة فعل السفير الأميركي أخذه لقاح مركز اللقاحات بـ,celebrity,1,positive,"['شاهد', 'ردة', 'فعل', 'السفير', 'الأميركي', 'أخذه', 'لقاح', 'مركز', 'اللقاحات', 'بـ']","{'اللقاحات', 'ردة', 'أخذه', 'لقاح', 'السفير', 'بـ', 'شاهد', 'مركز', 'فعل', 'الأميركي'}",10,55
بيانات تظهر إصابة الإسرائيليين بـ جرعتين لقاح فايزر,info_news,0,neutral,"['بيانات', 'تظهر', 'إصابة', 'الإسرائيليين', 'بـ', 'جرعتين', 'لقاح', 'فايزر']","{'تظهر', 'لقاح', 'الإسرائيليين', 'جرعتين', 'إصابة', 'فايزر', 'بيانات', 'بـ'}",8,51
تغطية قناة سعادة السفير انتي روتوڤووري سفير المملكة يتلقى الجرعة الثانية لقاح,celebrity,1,positive,"['تغطية', 'قناة', 'سعادة', 'السفير', 'انتي', 'روتوڤووري', 'سفير', 'المملكة', 'يتلقى', 'الجرعة', 'الثانية', 'لقاح']","{'تغطية', 'الثانية', 'لقاح', 'السفير', 'قناة', 'روتوڤووري', 'الجرعة', 'يتلقى', 'سفير', 'سعادة', 'المملكة', 'انتي'}",12,77
فرنسا تعلن الموافقة استخدام لقاح موديرنا فايزر,info_news,1,positive,"['فرنسا', 'تعلن', 'الموافقة', 'استخدام', 'لقاح', 'موديرنا', 'فايزر']","{'لقاح', 'استخدام', 'موديرنا', 'الموافقة', 'تعلن', 'فايزر', 'فرنسا'}",7,46
خرائط جوجل ستعرض قريب مواقع لقاح كوفيد كورونا ,info_news,1,positive,"['خرائط', 'جوجل', 'ستعرض', 'قريب', 'مواقع', 'لقاح', 'كوفيد', 'كورونا']","{'كورونا', 'لقاح', 'ستعرض', 'كوفيد', 'جوجل', 'قريب', 'مواقع', 'خرائط'}",8,46
تجعل فعالية اعرف أهم الأطعمة والمشروبات الضارة  للتفاصيل ,info_news,1,positive,"['تجعل', 'فعالية', 'اعرف', 'أهم', 'الأطعمة', 'والمشروبات', 'الضارة', 'للتفاصيل']","{'والمشروبات', 'فعالية', 'اعرف', 'الأطعمة', 'أهم', 'للتفاصيل', 'تجعل', 'الضارة'}",8,57
مليونير كندي وزوجته  ينتحلان صفة عمال نظافة للحصول لقاح كورونا تخطى قائمة الانتظار للحصول اللقاح,info_news,0,neutral,"['مليونير', 'كندي', 'وزوجته', 'ينتحلان', 'صفة', 'عمال', 'نظافة', 'للحصول', 'لقاح', 'كورونا', 'تخطى', 'قائمة', 'الانتظار', 'للحصول', 'اللقاح']","{'للحصول', 'كورونا', 'تخطى', 'ينتحلان', 'صفة', 'لقاح', 'قائمة', 'نظافة', 'كندي', 'اللقاح', 'وزوجته', 'عمال', 'مليونير', 'الانتظار'}",14,96
اتهام ثنائي السفر بلدة كندية نائية للحصول لقاح,info_news,0,neutral,"['اتهام', 'ثنائي', 'السفر', 'بلدة', 'كندية', 'نائية', 'للحصول', 'لقاح']","{'للحصول', 'ثنائي', 'لقاح', 'بلدة', 'السفر', 'اتهام', 'كندية', 'نائية'}",8,46
وزير الصحة توفيق الربيعة يعلن تدشين الجواز الصحي بالشراكة سدايا لمن أكمل تطعيمات لقاح كورونا,plan,1,positive,"['وزير', 'الصحة', 'توفيق', 'الربيعة', 'يعلن', 'تدشين', 'الجواز', 'الصحي', 'بالشراكة', 'سدايا', 'لمن', 'أكمل', 'تطعيمات', 'لقاح', 'كورونا']","{'كورونا', 'الربيعة', 'لمن', 'تدشين', 'أكمل', 'لقاح', 'الصحة', 'وزير', 'سدايا', 'بالشراكة', 'الصحي', 'تطعيمات', 'يعلن', 'الجواز', 'توفيق'}",15,92
توضح الأعراض الجانبية الحصول لقاح فيروس,info_news,-1,negative,"['توضح', 'الأعراض', 'الجانبية', 'الحصول', 'لقاح', 'فيروس']","{'لقاح', 'الحصول', 'الجانبية', 'فيروس', 'الأعراض', 'توضح'}",6,39
امريكا تريد سد عجز أزمتها المالية الخانقة ببيع اللقاحات يثبت لحد الان فاعليتها ,info_news,1,positive,"['امريكا', 'تريد', 'سد', 'عجز', 'أزمتها', 'المالية', 'الخانقة', 'ببيع', 'اللقاحات', 'يثبت', 'لحد', 'الان', 'فاعليتها']","{'الخانقة', 'أزمتها', 'اللقاحات', 'الان', 'المالية', 'امريكا', 'فاعليتها', 'تريد', 'لحد', 'يثبت', 'عجز', 'سد', 'ببيع'}",13,79
الغوريلا تسلم فيروس كورونا  لقاح للحيوانات,info_news,0,neutral,"['الغوريلا', 'تسلم', 'فيروس', 'كورونا', 'لقاح', 'للحيوانات']","{'كورونا', 'للحيوانات', 'الغوريلا', 'لقاح', 'تسلم', 'فيروس'}",6,42
للتو  تستقبل جرعة لقاح فيروس التابع لشركة أسترازينيكا المصنع,info_news,1,positive,"['للتو', 'تستقبل', 'جرعة', 'لقاح', 'فيروس', 'التابع', 'لشركة', 'أسترازينيكا', 'المصنع']","{'أسترازينيكا', 'لقاح', 'تستقبل', 'جرعة', 'فيروس', 'لشركة', 'للتو', 'التابع', 'المصنع'}",9,60
فيروس كورونا المغرب لقح شخص ودبي تستقبل دفعة أولى لقاح أكسفورد أسترا زينيكا,info_news,1,positive,"['فيروس', 'كورونا', 'المغرب', 'لقح', 'شخص', 'ودبي', 'تستقبل', 'دفعة', 'أولى', 'لقاح', 'أكسفورد', 'أسترا', 'زينيكا']","{'كورونا', 'شخص', 'المغرب', 'زينيكا', 'لقاح', 'لقح', 'تستقبل', 'دفعة', 'ودبي', 'أسترا', 'أولى', 'فيروس', 'أكسفورد'}",13,75
نائب الكونغرس الأميركي يصاب بالفيروس رغم تلقيه جرعتي,info_news,0,neutral,"['نائب', 'الكونغرس', 'الأميركي', 'يصاب', 'بالفيروس', 'رغم', 'تلقيه', 'جرعتي']","{'رغم', 'يصاب', 'تلقيه', 'الكونغرس', 'بالفيروس', 'نائب', 'جرعتي', 'الأميركي'}",8,52
ينفع الله يعيطك الصحة والعافية  ويحفظك ويطول عمرك  الشعب سيدي ووالدي ووالد الجميع ,celebrity,1,positive,"['ينفع', 'الله', 'يعيطك', 'الصحة', 'والعافية', 'ويحفظك', 'ويطول', 'عمرك', 'الشعب', 'سيدي', 'ووالدي', 'ووالد', 'الجميع']","{'الله', 'والعافية', 'ينفع', 'عمرك', 'ويحفظك', 'الصحة', 'ويطول', 'الشعب', 'الجميع', 'يعيطك', 'ووالد', 'ووالدي', 'سيدي'}",13,82
لقاح تختاره توافرت جميعها وعلى استعداد لأخذه  لطفا المشاركة والرتويت,info_news,1,positive,"['لقاح', 'تختاره', 'توافرت', 'جميعها', 'وعلى', 'استعداد', 'لأخذه', 'لطفا', 'المشاركة', 'والرتويت']","{'المشاركة', 'لقاح', 'جميعها', 'توافرت', 'والرتويت', 'لطفا', 'تختاره', 'لأخذه', 'وعلى', 'استعداد'}",10,68
الجزائر تتسلم أولى شحنات لقاح سبوتنيك الروسي ضد كورونا,info_news,1,positive,"['الجزائر', 'تتسلم', 'أولى', 'شحنات', 'لقاح', 'سبوتنيك', 'الروسي', 'ضد', 'كورونا']","{'كورونا', 'لقاح', 'شحنات', 'الجزائر', 'أولى', 'سبوتنيك', 'ضد', 'تتسلم', 'الروسي'}",9,54
يعمل لقاح الصيني لمنح الجسم المناعة ضد فيروس,info_news,1,positive,"['يعمل', 'لقاح', 'الصيني', 'لمنح', 'الجسم', 'المناعة', 'ضد', 'فيروس']","{'لقاح', 'يعمل', 'الجسم', 'المناعة', 'الصيني', 'فيروس', 'ضد', 'لمنح'}",8,44
فيديو جدولة إعطاء لقاح لمن حصلوا موعد الجرعة الأولى  ,plan,1,positive,"['فيديو', 'جدولة', 'إعطاء', 'لقاح', 'لمن', 'حصلوا', 'موعد', 'الجرعة', 'الأولى']","{'لمن', 'الأولى', 'حصلوا', 'جدولة', 'لقاح', 'فيديو', 'موعد', 'إعطاء', 'الجرعة'}",9,53
عاجل الصحة اعتماد لقاحي كورونا أسترازينيكا وموديرنا لقاح فايزر,info_news,1,positive,"['عاجل', 'الصحة', 'اعتماد', 'لقاحي', 'كورونا', 'أسترازينيكا', 'وموديرنا', 'لقاح', 'فايزر']","{'عاجل', 'كورونا', 'أسترازينيكا', 'وموديرنا', 'لقاح', 'الصحة', 'فايزر', 'اعتماد', 'لقاحي'}",9,62
هاكم إسمعوا شخص أصيبوا بكوفيد اعطائهم لقاح فايزر الخطر فلماذا التلقيح,info_news,-1,negative,"['هاكم', 'إسمعوا', 'شخص', 'أصيبوا', 'بكوفيد', 'اعطائهم', 'لقاح', 'فايزر', 'الخطر', 'فلماذا', 'التلقيح']","{'شخص', 'لقاح', 'التلقيح', 'أصيبوا', 'بكوفيد', 'فايزر', 'فلماذا', 'هاكم', 'اعطائهم', 'إسمعوا', 'الخطر'}",11,69
تعقيل الليمون  السدر  المانجو بالقلم القمي  الفواكه وقت تزهير  اكثار الأشجار بالتعقيل  المزارعين ,unrelated,0,neutral,"['تعقيل', 'الليمون', 'السدر', 'المانجو', 'بالقلم', 'القمي', 'الفواكه', 'وقت', 'تزهير', 'اكثار', 'الأشجار', 'بالتعقيل', 'المزارعين']","{'الليمون', 'المانجو', 'بالقلم', 'القمي', 'اكثار', 'الأشجار', 'السدر', 'تزهير', 'الفواكه', 'المزارعين', 'تعقيل', 'بالتعقيل', 'وقت'}",13,97
نصف مليون مشوه بهدايا أمريكا البايولوجية ,personal,-1,negative,"['نصف', 'مليون', 'مشوه', 'بهدايا', 'أمريكا', 'البايولوجية']","{'البايولوجية', 'مشوه', 'أمريكا', 'مليون', 'نصف', 'بهدايا'}",6,41
عو دنا دائما   مقدام الأمور يرضى بالصف الأول   الرئيس تلقيه الجرعة الولى لقاح,celebrity,1,positive,"['عو', 'دنا', 'دائما', 'مقدام', 'الأمور', 'يرضى', 'بالصف', 'الأول', 'الرئيس', 'تلقيه', 'الجرعة', 'الولى', 'لقاح']","{'لقاح', 'الرئيس', 'تلقيه', 'دنا', 'مقدام', 'بالصف', 'عو', 'الأمور', 'يرضى', 'الأول', 'دائما', 'الولى', 'الجرعة'}",13,77
دراسة حديثة لقاح فايزر يقي سلالة المكتشفة بريطانيا  ,info_news,1,positive,"['دراسة', 'حديثة', 'لقاح', 'فايزر', 'يقي', 'سلالة', 'المكتشفة', 'بريطانيا']","{'لقاح', 'المكتشفة', 'دراسة', 'فايزر', 'سلالة', 'يقي', 'حديثة', 'بريطانيا'}",8,52
طلعت الدولة شاطرة بتصدير  المازوت الطحين الدواء والكبتاغون  وفشلت بإستيراد لقاح  ,personal,1,positive,"['طلعت', 'الدولة', 'شاطرة', 'بتصدير', 'المازوت', 'الطحين', 'الدواء', 'والكبتاغون', 'وفشلت', 'بإستيراد', 'لقاح']","{'الدولة', 'والكبتاغون', 'بتصدير', 'شاطرة', 'لقاح', 'الدواء', 'طلعت', 'المازوت', 'الطحين', 'وفشلت', 'بإستيراد'}",11,81
سيكون لدينا مليون جرعة لقاح لمنطقة الشرق الأوسط المقبل  ,plan,1,positive,"['سيكون', 'لدينا', 'مليون', 'جرعة', 'لقاح', 'لمنطقة', 'الشرق', 'الأوسط', 'المقبل']","{'لمنطقة', 'لقاح', 'سيكون', 'مليون', 'جرعة', 'الأوسط', 'لدينا', 'المقبل', 'الشرق'}",9,56
تخلوا هدير الطيران الحربي الاسرائيلي ينسيكن انه اسرائيل وزعت لقاح شعبها,personal,0,neutral,"['تخلوا', 'هدير', 'الطيران', 'الحربي', 'الاسرائيلي', 'ينسيكن', 'انه', 'اسرائيل', 'وزعت', 'لقاح', 'شعبها']","{'الحربي', 'انه', 'اسرائيل', 'لقاح', 'هدير', 'شعبها', 'الاسرائيلي', 'ينسيكن', 'وزعت', 'الطيران', 'تخلوا'}",11,71
جرعة لقاح تم تقديمها خلال الـ ساعة الماضية ليبلغ عدد الجرعات الكلي بمعدل توزيع جرعة لكل شخص  ,info_news,1,positive,"['جرعة', 'لقاح', 'تم', 'تقديمها', 'خلال', 'الـ', 'ساعة', 'الماضية', 'ليبلغ', 'عدد', 'الجرعات', 'الكلي', 'بمعدل', 'توزيع', 'جرعة', 'لكل', 'شخص']","{'شخص', 'لقاح', 'خلال', 'الجرعات', 'جرعة', 'توزيع', 'الـ', 'الكلي', 'بمعدل', 'ساعة', 'عدد', 'الماضية', 'لكل', 'ليبلغ', 'تقديمها', 'تم'}",16,93
تويتر يغلق حساب خامنئي بالانجليزي بسبب تغريدة تحوي معلومات كاذبة لقاح,info_news,1,positive,"['تويتر', 'يغلق', 'حساب', 'خامنئي', 'بالانجليزي', 'بسبب', 'تغريدة', 'تحوي', 'معلومات', 'كاذبة', 'لقاح']","{'تحوي', 'خامنئي', 'لقاح', 'يغلق', 'كاذبة', 'تويتر', 'معلومات', 'حساب', 'بالانجليزي', 'تغريدة', 'بسبب'}",11,69
اللهم احفظ  سوء وأدام الله  الصحة والعافية  ,celebrity,1,positive,"['اللهم', 'احفظ', 'سوء', 'وأدام', 'الله', 'الصحة', 'والعافية']","{'الله', 'والعافية', 'الصحة', 'احفظ', 'اللهم', 'وأدام', 'سوء'}",7,44
صحت خبرية فبكون الرئيس الحريري درس بالعمل الإنساني وكيف إنو إنقاذ الأرواح مش بحاجة لصلاحيات ,personal,1,positive,"['صحت', 'خبرية', 'فبكون', 'الرئيس', 'الحريري', 'درس', 'بالعمل', 'الإنساني', 'وكيف', 'إنو', 'إنقاذ', 'الأرواح', 'مش', 'بحاجة', 'لصلاحيات']","{'درس', 'الأرواح', 'بحاجة', 'صحت', 'فبكون', 'الإنساني', 'الرئيس', 'إنقاذ', 'وكيف', 'بالعمل', 'لصلاحيات', 'إنو', 'خبرية', 'الحريري', 'مش'}",15,92
الحكيم مش حكيم اللقاح لقاح   القوات صيصان  ,info_news,1,positive,"['الحكيم', 'مش', 'حكيم', 'اللقاح', 'لقاح', 'القوات', 'صيصان']","{'لقاح', 'حكيم', 'الحكيم', 'اللقاح', 'صيصان', 'القوات', 'مش'}",7,43
شاهد الأمير أمين مجلس الأمن الوطني السعودي السابق يتلقى لقاح فايزر مركز اللقاحات بـ   عبر ,celebrity,1,positive,"['شاهد', 'الأمير', 'أمين', 'مجلس', 'الأمن', 'الوطني', 'السعودي', 'السابق', 'يتلقى', 'لقاح', 'فايزر', 'مركز', 'اللقاحات', 'بـ', 'عبر']","{'اللقاحات', 'مجلس', 'لقاح', 'السابق', 'السعودي', 'شاهد', 'عبر', 'فايزر', 'الأمير', 'الوطني', 'أمين', 'الأمن', 'مركز', 'يتلقى', 'بـ'}",15,90
تتسلم جرعة لقاح اكسفورد بـ اليوم ,info_news,1,positive,"['تتسلم', 'جرعة', 'لقاح', 'اكسفورد', 'بـ', 'اليوم']","{'اليوم', 'اكسفورد', 'لقاح', 'جرعة', 'تتسلم', 'بـ'}",6,33
دراسة طبية لقاح فايزر بيونتك فعال الأرجح ضد سلالة كورونا المكتشفة بريطانيا,info_news,1,positive,"['دراسة', 'طبية', 'لقاح', 'فايزر', 'بيونتك', 'فعال', 'الأرجح', 'ضد', 'سلالة', 'كورونا', 'المكتشفة', 'بريطانيا']","{'كورونا', 'بيونتك', 'لقاح', 'طبية', 'المكتشفة', 'دراسة', 'الأرجح', 'فايزر', 'سلالة', 'ضد', 'فعال', 'بريطانيا'}",12,74
دراسة لقاح فايزر فعال ضد سلالات كورونا المتحورة    ,info_news,1,positive,"['دراسة', 'لقاح', 'فايزر', 'فعال', 'ضد', 'سلالات', 'كورونا', 'المتحورة']","{'كورونا', 'لقاح', 'المتحورة', 'دراسة', 'سلالات', 'فايزر', 'ضد', 'فعال'}",8,51
لدينا كميات كبيرة اللقاح الصيني وشحنة لقاح أخر تصل نهاية الأسبوع الجارى ,info_news,1,positive,"['لدينا', 'كميات', 'كبيرة', 'اللقاح', 'الصيني', 'وشحنة', 'لقاح', 'أخر', 'تصل', 'نهاية', 'الأسبوع', 'الجارى']","{'أخر', 'وشحنة', 'لقاح', 'نهاية', 'كبيرة', 'كميات', 'الصيني', 'تصل', 'اللقاح', 'لدينا', 'الجارى', 'الأسبوع'}",12,72
فيروس كورونا شكوك حول فعالية لقاح أسترازينيكا لمن تتجاوز أعمارهم سنة,info_news,-1,negative,"['فيروس', 'كورونا', 'شكوك', 'حول', 'فعالية', 'لقاح', 'أسترازينيكا', 'لمن', 'تتجاوز', 'أعمارهم', 'سنة']","{'كورونا', 'حول', 'فعالية', 'أسترازينيكا', 'لمن', 'تتجاوز', 'لقاح', 'أعمارهم', 'شكوك', 'فيروس', 'سنة'}",11,68
وكالة أنباء البحرين إقرار لقاح أوكسفورد ـ أسترازينيكا للاستخدام الطارئ,info_news,1,positive,"['وكالة', 'أنباء', 'البحرين', 'إقرار', 'لقاح', 'أوكسفورد', 'ـ', 'أسترازينيكا', 'للاستخدام', 'الطارئ']","{'أسترازينيكا', 'الطارئ', 'ـ', 'أوكسفورد', 'لقاح', 'للاستخدام', 'أنباء', 'البحرين', 'وكالة', 'إقرار'}",10,70
خبر عاجل اختفاء لقاحات كورونا الجنوب ,info_news,0,neutral,"['خبر', 'عاجل', 'اختفاء', 'لقاحات', 'كورونا', 'الجنوب']","{'عاجل', 'كورونا', 'لقاحات', 'خبر', 'اختفاء', 'الجنوب'}",6,37
عدد المسجلين تطبيق لأخذ لقاح فايروس تخطى حاجز المليون,info_news,1,positive,"['عدد', 'المسجلين', 'تطبيق', 'لأخذ', 'لقاح', 'فايروس', 'تخطى', 'حاجز', 'المليون']","{'تخطى', 'حاجز', 'لأخذ', 'لقاح', 'المسجلين', 'تطبيق', 'فايروس', 'المليون', 'عدد'}",9,53
